COUNTYGEOID,C01,C02,C03,C04,C05,label
02261,-0.1263888827791457,-0.21263971382184216,-0.4169217623327359,0.7863089806141089,0.09680026188698873,5
02275,-0.07880609982962437,-0.11132891368754344,-0.011524853589667223,-0.05604569181776088,-0.04390749017079115,3
02282,-0.07880609982962437,-0.11132891368754344,-0.011524853589667223,-0.05604569181776089,-0.04390749017079115,3
02290,-0.07880609982962437,-0.11132891368754344,-0.011524853589667223,-0.05604569181776089,-0.04390749017079115,3
01001,-0.4587486727848613,0.7913156545205167,0.025349931370787348,-0.010206286332447806,-0.018204465135488245,2
01003,-0.145011479224068,-0.24947475278116765,-0.09941361609486768,-0.2817953048636229,0.17032044554604542,3
01005,-0.10534676995936824,-0.15639171257925255,-0.024807538078247964,-0.10054952979250788,-0.08969564293061427,3
01007,-0.08161183441036768,-0.1161886172241073,-0.012818991887224426,-0.059677390883970775,-0.042865942210168366,3
01009,-0.07880609982962437,-0.11132891368754344,-0.011524853589667221,-0.05604569181776089,-0.04390749017079116,3
01011,-0.07880609982962437,-0.11132891368754344,-0.011524853589667221,-0.05604569181776089,-0.04390749017079115,3
01013,-0.10534676995936824,-0.15639171257925255,-0.024807538078247968,-0.10054952979250786,-0.08969564293061427,3
01015,0.8196896976100169,0.2282947294756614,-0.1863135670226264,0.032204501505875144,-0.009056711726390951,1
01017,-0.459183670786633,0.7712139747657283,0.02084551071348449,-0.023678508594680018,-0.00982495635283681,2
01019,-0.10735382977848223,-0.16583036424725248,-0.035265993551531406,-0.12494852928578805,-0.022190732511129192,3
01021,-0.11334087315306915,-0.1745781761390191,-0.030209243603472418,-0.11641830048872405,-0.12042732655761634,3
01023,-0.4587538965455237,0.7913213113259439,0.025344499712237248,-0.010175712786998022,-0.018124514837855914,2
01025,-0.458746869692107,0.7913340135085073,0.02534919347338873,-0.010168838703783907,-0.01812086297197097,2
01027,-0.08960614537245995,-0.17526291317945422,-0.14042486068316234,0.19693354190757856,-0.024459148124258288,3
01029,-0.07880609982962437,-0.1113289136875434,-0.011524853589667214,-0.0560456918177609,-0.043907490170791125,3
01031,-0.13898836610541412,-0.2539704186374549,-0.059834508007419004,-0.2635432948598843,-0.5184991117593958,3
01033,-0.0867855708224191,-0.11074544501202237,-0.021368968276905997,-0.07374899182921339,0.023482415050878492,3
01035,-0.07880609982962437,-0.1113289136875434,-0.01152485358966722,-0.05604569181776089,-0.04390749017079114,3
01037,-0.11341733257181642,-0.1878287955403314,-0.04485027398820282,-0.092547013876186,-0.11790339592115208,3
01039,-0.10572707984200874,-0.15721214827396313,-0.02499923459629193,-0.101514162124107,-0.0910554787262396,3
01041,-0.07880609982962437,-0.1113289136875434,-0.011524853589667221,-0.0560456918177609,-0.043907490170791125,3
01043,0.7709468813428628,0.3662659276150044,-0.1303987103889364,-0.06623212510314938,-0.023039778458913814,1
01045,-0.12715738925532702,-0.2143714404328816,-0.4176014400731952,0.7853241512753186,0.09524465303213077,5
01047,-0.4587874409112749,0.7912249560616516,0.0253042303956454,-0.010210531388067228,-0.01819998477214609,2
01049,-0.11772428947431852,-0.1965144455754808,-0.038953071791895735,-0.15588173779493944,-0.2367574475306793,3
01051,-0.10196441957441836,-0.15909312180896185,-0.02587452012230411,-0.09984507371811586,-0.112478287136022,3
01053,-0.4587718857069506,0.7912790453733746,0.025324670915368986,-0.010202854549085916,-0.018109799483651996,2
01055,0.7977967288692228,0.20893313921769696,-0.2254609821212974,0.09493180393598886,0.03964251800308564,1
01057,-0.13573972160720138,-0.2472717523142716,-0.05805431182884367,-0.25729794256634864,-0.5098645059275752,3
01059,0.8147829938598811,0.2360348798485483,-0.13549843491955565,-0.07011191432032986,-0.0263670124847904,1
01061,-0.10184202566156587,-0.15873115599053506,-0.02557091835215788,-0.09910058092078552,-0.11408961562442226,3
01063,-0.13561998050313126,-0.21081627618396773,-0.11847517594472197,-0.3803852441828365,0.8048373874248659,0
01065,-0.10534676995936833,-0.15639171257925255,-0.02480753807824795,-0.10054952979250772,-0.08969564293061423,3
01067,-0.07880609982962437,-0.11132891368754344,-0.011524853589667226,-0.05604569181776089,-0.04390749017079116,3
01069,0.8329431971105512,0.2440621008666759,-0.13644482360723093,-0.07314275436229715,-0.02610471620435012,1
01071,-0.18173318457715287,0.7709430526957683,-0.04859712152632816,-0.12529437829131876,0.2595820597380976,2
01073,-0.03459198862336533,-0.18490204070676688,-0.3968196686920658,0.7770173127704753,0.1411020965977145,5
01075,0.8328542567017543,0.24391216780515024,-0.13660130066393472,-0.07361980888281974,-0.0248452171651248,1
01077,0.8329516247296095,0.2440794430152941,-0.13643962209332827,-0.07312692063869493,-0.02607984034601404,1
01079,-0.4587721910625831,0.7912765211419397,0.025321929945566025,-0.010186268994646709,-0.018158934907462343,2
01081,0.8388726891138581,0.2306598442416575,0.002194164887521968,-0.02198346387696282,-0.004925337334377214,1
01083,-0.06791477546365064,-0.2163986639768034,0.3366613705991273,0.03767439691264382,-0.08588451263674098,3
01085,-0.09749278945559664,-0.15151611528382022,-0.02238744968945043,-0.09813333924508716,-0.10874637098204618,3
01087,-0.07880609982962439,-0.1113289136875434,-0.011524853589667223,-0.05604569181776088,-0.04390749017079113,3
