COUNTYGEOID,C01,C02,C03,C04,label
02013,-0.1869116078906166,-0.08672165687037837,-0.0157241908602164,-0.031273731777676436,0
02016,-0.18691160789057845,-0.08672165687021886,-0.015724190860175992,-0.03127373177760219,0
02020,-0.2416728547316815,0.4989057549980278,0.7924113008570051,-0.0046178799723729964,2
02050,-0.1869116078906136,-0.08672165687037676,-0.01572419086020248,-0.03127373177767324,0
02060,-0.1869116078906136,-0.08672165687038233,-0.015724190860173355,-0.03127373177769488,0
02068,-0.18691160789061365,-0.08672165687037296,-0.015724190860248392,-0.03127373177766034,0
02070,-0.1869116078906136,-0.08672165687037675,-0.015724190860216137,-0.031273731777675416,0
02090,-0.2231486968819759,0.0679244886626252,-0.07033352968968483,0.9541125319078649,4
02100,-0.18691160789061365,-0.08672165687037674,-0.015724190860216047,-0.03127373177767577,0
02105,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767577,0
02110,-0.2416728547316748,0.4989057549980128,0.7924113008570118,-0.00461787997239267,2
02122,-0.24016037282330385,0.9100066800721012,0.028689474123467118,0.0036041951268614273,3
02130,-0.2416728547316748,0.4989057549980128,0.7924113008570118,-0.004617879972392685,2
02150,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767577,0
02158,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767577,0
02164,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
02170,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
02180,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
02185,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
02188,-0.2151643917823297,-0.12309106773115695,-0.02454724625139698,0.9672717700735476,4
02195,-0.1869116078906136,-0.08672165687037672,-0.015724190860216043,-0.03127373177767577,0
02198,-0.1869116078906136,-0.08672165687037672,-0.015724190860216043,-0.03127373177767577,0
02220,-0.1869116078906136,-0.08672165687037672,-0.015724190860216043,-0.03127373177767577,0
02230,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
02240,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
02261,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
02275,-0.1869116078906136,-0.08672165687037676,-0.015724190860216047,-0.031273731777675784,0
02282,-0.1869116078906136,-0.08672165687037676,-0.015724190860216047,-0.031273731777675784,0
02290,-0.1869116078906136,-0.08672165687037676,-0.015724190860216047,-0.031273731777675784,0
01001,-0.1869116078906136,-0.08672165687037676,-0.015724190860216047,-0.031273731777675784,0
01003,-0.1977846058006168,-0.10518108136104257,-0.019859242316852026,-0.05627283259965549,0
01005,-0.1869116078906136,-0.08672165687037674,-0.01572419086021604,-0.03127373177767577,0
01007,-0.19787639811738766,-0.10214211820104993,-0.022071628236304663,-0.05618482309632285,0
01009,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
01011,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
01013,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
01015,0.8043154218457579,0.0059310107522952205,0.07192073952828792,0.0005800995993734034,1
01017,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
01019,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
01021,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
01023,-0.1869116078906136,-0.08672165687037674,-0.015724190860216043,-0.03127373177767576,0
01025,-0.1869116078906136,-0.08672165687037675,-0.01572419086021605,-0.03127373177767576,0
01027,-0.24685431179253176,0.7646939728693551,0.5038342501812605,0.0023150470953997603,2
01029,-0.1869116078906136,-0.08672165687037676,-0.015724190860216054,-0.031273731777675784,0
01031,-0.1869116078906136,-0.08672165687037676,-0.015724190860216054,-0.031273731777675784,0
01033,-0.2416728547316748,0.4989057549980122,0.7924113008570122,-0.004617879972392902,2
01035,-0.1869116078906136,-0.08672165687037676,-0.015724190860216054,-0.031273731777675784,0
01037,-0.1869116078906136,-0.08672165687037676,-0.015724190860216054,-0.031273731777675784,0
01039,-0.1869116078906136,-0.08672165687037676,-0.015724190860216054,-0.031273731777675784,0
01041,-0.1869116078906136,-0.08672165687037675,-0.015724190860216047,-0.031273731777675784,0
01043,0.8107142748075467,-0.03423271402096916,0.01457804367811014,-0.001190718829792246,1
01045,-0.1888251520387888,-0.0741430665872283,-0.016343228672718577,-0.04242954609696963,0
01047,-0.1869116078906136,-0.08672165687037675,-0.015724190860216047,-0.031273731777675784,0
01049,-0.1869116078906136,-0.08672165687037675,-0.015724190860216047,-0.031273731777675784,0
01051,-0.1869116078906136,-0.08672165687037675,-0.015724190860216047,-0.031273731777675784,0
01053,-0.19778460580061671,-0.10518108136104257,-0.01985924231685196,-0.05627283259965541,0
