calinski,davies,silhouette_median,silhouette_mean,calinski_inverse,density,clusters,r_clusters,n_clusters,bic,covariance_type,model,score
19944.035244845578,1.2295096278244315,0.9998237965318432,0.9319634370375833,5.0140304493216554e-05,1.1031988418246952,"{0: {'label': 0, 'median': 0.9998237968529912, 'mean': 0.9996215418616499, 'density': 0.999621541861659, 'sum': 1870.291904823147, 'count': 1871}, 1: {'label': 1, 'median': 0.9993558045857022, 'mean': 0.9986721023598835, 'density': 0.9986721023598871, 'sum': 1200.4038670365799, 'count': 1202}, 2: {'label': 2, 'median': 0.16195548642365662, 'mean': -0.016675251959416805, 'density': -0.01667525195941681, 'sum': -0.7170358342549226, 'count': 43}, 3: {'label': 3, 'median': -0.34771284654329143, 'mean': -0.21707375992285813, 'density': -0.21707375992285816, 'sum': -9.985392956451474, 'count': 46}, 4: {'label': 4, 'median': -0.9230357540499081, 'mean': -0.6613457905145753, 'density': -0.6613457905145758, 'sum': -46.95555112653485, 'count': 71}}",5,5,-55903.95443288509,full,"GaussianMixture(n_components=5, n_init=100, random_state=5, reg_covar=0.001)",-0.12636092630422957
20197.46448950664,1.213936366500383,0.9998168263553723,0.9323901351701787,4.951116515241497e-05,1.1925521581082035,"{0: {'label': 0, 'median': 0.9998168266856522, 'mean': 0.9996049840985188, 'density': 0.9996049840985031, 'sum': 1870.2609252483287, 'count': 1871}, 1: {'label': 1, 'median': 0.9993699799343297, 'mean': 0.9986988229589505, 'density': 0.9986988229589374, 'sum': 1200.4359851966585, 'count': 1202}, 2: {'label': 2, 'median': 0.20460043538104955, 'mean': 0.004548301045132881, 'density': 0.004548301045132881, 'sum': 0.1955769449407139, 'count': 43}, 3: {'label': 3, 'median': -0.11256243072528069, 'mean': -0.13022169287521462, 'density': -0.13022169287521465, 'sum': -5.469311100759015, 'count': 42}, 4: {'label': 4, 'median': -0.9376243611166183, 'mean': -0.6800782571191551, 'density': -0.6800782571191553, 'sum': -51.00586928393663, 'count': 75}}",5,5,-55989.54103691123,diag,"GaussianMixture(covariance_type='diag', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",-0.021433719557331976
36991.55696203634,0.5511038037870128,0.9931260292623356,0.9745686091487923,2.7033195737780897e-05,3.830020064892997,"{0: {'label': 0, 'median': 0.9929552649801526, 'mean': 0.9795095995185507, 'density': 0.979509599518549, 'sum': 1239.0796433909666, 'count': 1265}, 1: {'label': 1, 'median': 0.9931260298369162, 'mean': 0.9821233407127715, 'density': 0.9821233407127479, 'sum': 1873.8913340799681, 'count': 1908}, 2: {'label': 2, 'median': 0.8830952940412259, 'mean': 0.7711775409627326, 'density': 0.7711775409627327, 'sum': 17.73708344214285, 'count': 23}, 3: {'label': 3, 'median': 0.7018794353872873, 'mean': 0.5033798251662505, 'density': 0.5033798251662506, 'sum': 10.57097632849126, 'count': 21}, 4: {'label': 4, 'median': 0.7615884643162542, 'mean': 0.5938297585327167, 'density': 0.5938297585327167, 'sum': 9.501276136523467, 'count': 16}}",5,5,-44166.01803159335,tied,"GaussianMixture(covariance_type='tied', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",3.278889227910246
24200.372841677796,1.1134658424672637,0.9996437188160994,0.9331601008228639,4.132167741968849e-05,2.0689652568863104,"{0: {'label': 0, 'median': 0.9960665650052418, 'mean': 0.9917158131724909, 'density': 0.9917158131724911, 'sum': 1192.0424074333341, 'count': 1202}, 1: {'label': 1, 'median': 0.9996437194820683, 'mean': 0.9991782746966531, 'density': 0.9991782746966693, 'sum': 1872.460086781528, 'count': 1874}, 2: {'label': 2, 'median': 0.97305301691552, 'mean': 0.9636495748016846, 'density': 0.9636495748016846, 'sum': 15.418393196826953, 'count': 16}, 3: {'label': 3, 'median': -0.4502949013670994, 'mean': -0.39809659953909354, 'density': -0.3980965995390933, 'sum': -25.478182370501987, 'count': 64}, 4: {'label': 4, 'median': -0.5868471797173094, 'mean': -0.4874818062454416, 'density': -0.48748180624544146, 'sum': -37.536099080899, 'count': 77}}",5,5,-55612.36659281406,spherical,"GaussianMixture(covariance_type='spherical', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",0.955458092741627
19211.76427164297,1.1193541925362425,0.9995270976191238,0.93494494604586,5.20514402457053e-05,1.4578031322134988,"{0: {'label': 0, 'median': 0.9995270982822714, 'mean': 0.9989724263038688, 'density': 0.9989724263039033, 'sum': 1869.0774096145385, 'count': 1871}, 1: {'label': 1, 'median': 0.9989065238964634, 'mean': 0.9976736534439625, 'density': 0.997673653443953, 'sum': 1196.210710479311, 'count': 1199}, 2: {'label': 2, 'median': 0.4215304374775893, 'mean': 0.13662788926455113, 'density': 0.13662788926455116, 'sum': 4.508720345730187, 'count': 33}, 3: {'label': 3, 'median': -0.9310890077383224, 'mean': -0.6745737962998123, 'density': -0.6745737962998122, 'sum': -48.569313333586486, 'count': 72}, 4: {'label': 4, 'median': -0.026755008610405882, 'mean': -0.09266712241783698, 'density': -0.09266712241783696, 'sum': -1.9460095707745766, 'count': 21}, 5: {'label': 5, 'median': 0.34096358596608817, 'mean': 0.09177008191874078, 'density': 0.09177008191874077, 'sum': 3.395493030993409, 'count': 37}}",6,6,-55957.43637938712,full,"GaussianMixture(n_components=6, n_init=100, random_state=5, reg_covar=0.001)",0.33839688823701053
16195.430554355837,1.6272226436892316,0.9998156922471725,0.9300625265072917,6.174581136597479e-05,0.6368676364510736,"{0: {'label': 0, 'median': 0.9991952082259926, 'mean': 0.9983466407535982, 'density': 0.9983466407536138, 'sum': 1201.0110088265787, 'count': 1203}, 1: {'label': 1, 'median': 0.9998156925824827, 'mean': 0.9996033125593228, 'density': 0.999603312559354, 'sum': 1870.257797798493, 'count': 1871}, 2: {'label': 2, 'median': 0.134660021054897, 'mean': -0.07564818341026014, 'density': -0.07564818341026014, 'sum': -3.177223703230926, 'count': 42}, 3: {'label': 3, 'median': -0.9212574670962356, 'mean': -0.65893004998821, 'density': -0.6589300499882104, 'sum': -41.512593149257235, 'count': 63}, 4: {'label': 4, 'median': -0.2567319352054446, 'mean': -0.2472703436109083, 'density': -0.24727034361090833, 'sum': -1.4836220616654499, 'count': 6}, 5: {'label': 5, 'median': -0.4940543622896858, 'mean': -0.3792337398525157, 'density': -0.37923373985251574, 'sum': -18.203219512920754, 'count': 48}}",6,6,-56110.063039261906,diag,"GaussianMixture(covariance_type='diag', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",-0.9904167530495239
34510.83945710002,0.5796790401032489,0.9932542499584044,0.96867886792478,2.897640323247098e-05,4.310497782366989,"{0: {'label': 0, 'median': 0.9932542512894932, 'mean': 0.9821065479828991, 'density': 0.982106547982893, 'sum': 1872.8771870033886, 'count': 1907}, 1: {'label': 1, 'median': 0.9842367191498395, 'mean': 0.9706766911572408, 'density': 0.9706766911572412, 'sum': 1213.345863946551, 'count': 1250}, 2: {'label': 2, 'median': 0.8830868913114812, 'mean': 0.7709030439748644, 'density': 0.7709030439748645, 'sum': 17.730770011421882, 'count': 23}, 3: {'label': 3, 'median': 0.7615553356568443, 'mean': 0.5910536800040991, 'density': 0.5910536800040991, 'sum': 9.456858880065585, 'count': 16}, 4: {'label': 4, 'median': 0.5545048509941355, 'mean': 0.5165628089616413, 'density': 0.5165628089616413, 'sum': 8.265004943386261, 'count': 16}, 5: {'label': 5, 'median': 0.5083216973088621, 'mean': 0.4791950102862503, 'density': 0.4791950102862503, 'sum': 10.063095216011256, 'count': 21}}",6,6,-45628.88694060983,tied,"GaussianMixture(covariance_type='tied', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",3.730789765860507
25721.540060468236,0.9978691988760469,0.9995799302608155,0.9344535986254165,3.887792090400189e-05,2.8806221159521987,"{0: {'label': 0, 'median': 0.9995799310319831, 'mean': 0.9990664366844247, 'density': 0.9990664366843973, 'sum': 1872.250502346612, 'count': 1874}, 1: {'label': 1, 'median': 0.9970085283144728, 'mean': 0.9937639131044195, 'density': 0.9937639131044187, 'sum': 1194.5042235515123, 'count': 1202}, 2: {'label': 2, 'median': 0.9723978212869768, 'mean': 0.9633960699156393, 'density': 0.9633960699156394, 'sum': 15.414337118650229, 'count': 16}, 3: {'label': 3, 'median': -0.7241622136968405, 'mean': -0.610472125089859, 'density': -0.610472125089859, 'sum': -37.2387996304814, 'count': 61}, 4: {'label': 4, 'median': 0.982499885757085, 'mean': 0.9742540963527596, 'density': 0.9742540963527597, 'sum': 7.794032770822077, 'count': 8}, 5: {'label': 5, 'median': -0.4117059933657331, 'mean': -0.439386275015157, 'density': -0.43938627501515704, 'sum': -31.635811801091304, 'count': 72}}",6,6,-55649.40095311879,spherical,"GaussianMixture(covariance_type='spherical', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",1.882714039155248
