calinski,davies,silhouette_median,silhouette_mean,calinski_inverse,density,clusters,r_clusters,n_clusters,bic,covariance_type,model,score
37825.40537704828,0.7191353304882057,0.9997606444946944,0.9639426883530113,2.643725797600521e-05,2.8502133514428167,"{0: {'label': 0, 'median': 0.9998757306566671, 'mean': 0.9997316597221222, 'density': 0.9997316597221423, 'sum': 1420.6186884651356, 'count': 1421}, 1: {'label': 1, 'median': 0.9997606444946944, 'mean': 0.9994560601400126, 'density': 0.9994560601400084, 'sum': 1668.092164373681, 'count': 1669}, 2: {'label': 2, 'median': 0.884354303421386, 'mean': 0.8070630361655264, 'density': 0.8070630361655267, 'sum': 31.47545841045553, 'count': 39}, 3: {'label': 3, 'median': 0.42816618593461453, 'mean': 0.18107747574953084, 'density': 0.1810774757495309, 'sum': 5.9755566997345175, 'count': 33}, 4: {'label': 4, 'median': -0.1972834834218943, 'mean': -0.13711488033439156, 'density': -0.1371148803343916, 'sum': -9.735156503741802, 'count': 71}}",5,5,-57470.61332258041,full,"GaussianMixture(n_components=5, n_init=100, random_state=5, reg_covar=0.001)",2.1310515836966353
35407.22226464358,0.7462171138884516,0.9997354965288351,0.9619071957671642,2.824282550395277e-05,2.8326168936507163,"{0: {'label': 0, 'median': 0.9998789321462505, 'mean': 0.9997425657846187, 'density': 0.9997425657846452, 'sum': 1420.6341859799431, 'count': 1421}, 1: {'label': 1, 'median': 0.9997354965288351, 'mean': 0.9993931733004432, 'density': 0.9993931733004799, 'sum': 1669.9859925850405, 'count': 1671}, 2: {'label': 2, 'median': 0.9224983955601259, 'mean': 0.8964556417898245, 'density': 0.8964556417898244, 'sum': 27.79012489548456, 'count': 31}, 3: {'label': 3, 'median': 0.37462456463862276, 'mean': 0.09603132508768568, 'density': 0.09603132508768569, 'sum': 3.3610963780689986, 'count': 35}, 4: {'label': 4, 'median': -0.2825462018597656, 'mean': -0.15900581231191893, 'density': -0.15900581231191888, 'sum': -11.92543592339392, 'count': 75}}",5,5,-56953.604038741105,diag,"GaussianMixture(covariance_type='diag', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",2.0863715369367606
55403.943527980875,0.4977749618795011,0.9960622976858134,0.9833909061863395,1.8049256719333813e-05,4.125041012214326,"{0: {'label': 0, 'median': 0.9978350482342613, 'mean': 0.9946677110670644, 'density': 0.994667711067061, 'sum': 1426.3534976701703, 'count': 1434}, 1: {'label': 1, 'median': 0.9960622976858134, 'mean': 0.9886541143373901, 'density': 0.9886541143374079, 'sum': 1682.689302602238, 'count': 1702}, 2: {'label': 2, 'median': 0.8203034056464309, 'mean': 0.7500454499060304, 'density': 0.7500454499060305, 'sum': 27.001636196617095, 'count': 36}, 3: {'label': 3, 'median': 0.8516473001667317, 'mean': 0.7436200599705581, 'density': 0.7436200599705581, 'sum': 29.001182338851766, 'count': 39}, 4: {'label': 4, 'median': 0.7302147405988919, 'mean': 0.6480536769332689, 'density': 0.6480536769332689, 'sum': 14.257180892531915, 'count': 22}}",5,5,-46215.31021139948,tied,"GaussianMixture(covariance_type='tied', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",3.6272480010781054
38332.86479673799,0.743290820219277,0.9996401930929596,0.9681890598892791,2.608727537851794e-05,2.9540042477427213,"{0: {'label': 0, 'median': 0.9997139349411625, 'mean': 0.9993868583691077, 'density': 0.9993868583691138, 'sum': 1422.1274994592402, 'count': 1423}, 1: {'label': 1, 'median': 0.9996401930929596, 'mean': 0.9991272274203368, 'density': 0.9991272274203105, 'sum': 1669.5415970193828, 'count': 1671}, 2: {'label': 2, 'median': 0.8816099112456471, 'mean': 0.8039260547087986, 'density': 0.803926054708799, 'sum': 32.157042188351944, 'count': 40}, 3: {'label': 3, 'median': 0.38184755524015684, 'mean': 0.11624175546719831, 'density': 0.11624175546719828, 'sum': 4.068461441351941, 'count': 35}, 4: {'label': 4, 'median': 0.17249737906651377, 'mean': 0.035322351777300205, 'density': 0.035322351777300184, 'sum': 2.260630513747213, 'count': 64}}",5,5,-56758.50824770863,spherical,"GaussianMixture(covariance_type='spherical', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",2.210687340248066
32532.079700033697,1.208400111906825,0.9997138975485421,0.9678142311386511,3.0738889404570225e-05,2.5967709324693544,"{0: {'label': 0, 'median': 0.9998757306566671, 'mean': 0.9997316597221222, 'density': 0.9997316597221423, 'sum': 1420.6186884651356, 'count': 1421}, 1: {'label': 1, 'median': 0.9997138975485421, 'mean': 0.9992958931657088, 'density': 0.9992958931656757, 'sum': 1667.824845693568, 'count': 1669}, 2: {'label': 2, 'median': 0.8793534083869377, 'mean': 0.8492163920585554, 'density': 0.8492163920585555, 'sum': 29.72257372204944, 'count': 35}, 3: {'label': 3, 'median': 0.37821885307342523, 'mean': 0.16497037459776276, 'density': 0.1649703745977628, 'sum': 5.444022361726171, 'count': 33}, 4: {'label': 4, 'median': -0.751809682917824, 'mean': -0.7744353704052597, 'density': -0.7744353704052598, 'sum': -14.714272037699933, 'count': 19}, 5: {'label': 5, 'median': 0.5885330825222594, 'mean': 0.35799198333047794, 'density': 0.35799198333047777, 'sum': 20.047551066506763, 'count': 56}}",6,6,-57540.16587846685,full,"GaussianMixture(n_components=6, n_init=100, random_state=5, reg_covar=0.001)",1.3883400816731248
36984.9229558564,0.8199177156802566,0.9995559230083514,0.9668680587582108,2.7038044697120412e-05,3.029897091875966,"{0: {'label': 0, 'median': 0.9998789321462505, 'mean': 0.9997425657846187, 'density': 0.9997425657846452, 'sum': 1420.6341859799431, 'count': 1421}, 1: {'label': 1, 'median': 0.9995559230083513, 'mean': 0.9990391072800395, 'density': 0.9990391072800717, 'sum': 1667.396270050386, 'count': 1669}, 2: {'label': 2, 'median': 0.8669566574604938, 'mean': 0.8237890600551955, 'density': 0.8237890600551955, 'sum': 27.18503898182145, 'count': 33}, 3: {'label': 3, 'median': 0.3821605018396816, 'mean': 0.10537048005298814, 'density': 0.10537048005298817, 'sum': 3.6879668018545853, 'count': 35}, 4: {'label': 4, 'median': 0.7947030651036187, 'mean': 0.6825032793182557, 'density': 0.6825032793182556, 'sum': 27.30013117273023, 'count': 40}, 5: {'label': 5, 'median': -0.5788384734029338, 'mean': -0.5805474006151906, 'density': -0.5805474006151906, 'sum': -20.31915902153167, 'count': 35}}",6,6,-57152.8506932208,diag,"GaussianMixture(covariance_type='diag', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",2.2099523381510124
62273.35766139012,0.4792562601581955,0.9961227966806278,0.9831735316060162,1.6058231602629745e-05,4.866544743726917,"{0: {'label': 0, 'median': 0.9978021433063498, 'mean': 0.9934997804880731, 'density': 0.9934997804880574, 'sum': 1424.6786852198968, 'count': 1434}, 1: {'label': 1, 'median': 0.9961227966806278, 'mean': 0.9891234463923027, 'density': 0.9891234463923264, 'sum': 1681.5098588669146, 'count': 1700}, 2: {'label': 2, 'median': 0.8565836677620158, 'mean': 0.8071837751282258, 'density': 0.8071837751282258, 'sum': 22.601145703590323, 'count': 28}, 3: {'label': 3, 'median': 0.6125325523004201, 'mean': 0.586457538869213, 'density': 0.586457538869213, 'sum': 9.969778160776622, 'count': 17}, 4: {'label': 4, 'median': 0.8265111453790551, 'mean': 0.7270943857031434, 'density': 0.7270943857031434, 'sum': 27.62958665671945, 'count': 38}, 5: {'label': 5, 'median': 0.8513595613419234, 'mean': 0.7631858171459501, 'density': 0.76318581714595, 'sum': 12.210973074335202, 'count': 16}}",6,6,-48382.30760785161,tied,"GaussianMixture(covariance_type='tied', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",4.387272425337119
34885.16351036641,0.7697960492718333,0.9995581200985829,0.9706618747211968,2.8665481235392286e-05,3.580387753433327,"{0: {'label': 0, 'median': 0.9998438872210478, 'mean': 0.9996746222949818, 'density': 0.9996746222950045, 'sum': 1421.5373129034642, 'count': 1422}, 1: {'label': 1, 'median': 0.9995581200985829, 'mean': 0.9988152683118628, 'density': 0.9988152683119003, 'sum': 1670.0191286174347, 'count': 1672}, 2: {'label': 2, 'median': 0.8576559150355494, 'mean': 0.786463797763104, 'density': 0.7864637977631043, 'sum': 24.380377730656225, 'count': 31}, 3: {'label': 3, 'median': 0.7903047723660866, 'mean': 0.704268127125708, 'density': 0.7042681271257079, 'sum': 17.6067031781427, 'count': 25}, 4: {'label': 4, 'median': -0.22794284806956072, 'mean': -0.22872773750653833, 'density': -0.22872773750653838, 'sum': -9.149109500261533, 'count': 40}, 5: {'label': 5, 'median': 0.4124592434936793, 'mean': 0.31989367544414826, 'density': 0.31989367544414826, 'sum': 13.755428044098375, 'count': 43}}",6,6,-56888.36472284328,spherical,"GaussianMixture(covariance_type='spherical', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",2.8105630386802583
40521.35672971571,0.6857975010708591,0.9997287692741353,0.9698228859058651,2.4678344475733345e-05,3.0503962915411873,"{0: {'label': 0, 'median': 0.9997287692741353, 'mean': 0.9993393481026206, 'density': 0.9993393481026459, 'sum': 1667.8973719832738, 'count': 1669}, 1: {'label': 1, 'median': 0.9999275693951597, 'mean': 0.9998376548643375, 'density': 0.9998376548643514, 'sum': 1419.7694699073593, 'count': 1420}, 2: {'label': 2, 'median': 0.8514683958385263, 'mean': 0.8022158201070958, 'density': 0.8022158201070958, 'sum': 24.86869042331997, 'count': 31}, 3: {'label': 3, 'median': 0.39150924693833955, 'mean': 0.24565481366769107, 'density': 0.24565481366769099, 'sum': 14.247979192726081, 'count': 58}, 4: {'label': 4, 'median': 0.43844714826196496, 'mean': 0.20261144691520017, 'density': 0.20261144691520022, 'sum': 5.267897619795204, 'count': 26}, 5: {'label': 5, 'median': 0.6269885935778094, 'mean': 0.5976232142536595, 'density': 0.5976232142536595, 'sum': 11.35484107081953, 'count': 19}, 6: {'label': 6, 'median': -0.9987024180967873, 'mean': -0.7968860063694562, 'density': -0.7968860063694563, 'sum': -7.968860063694562, 'count': 10}}",7,7,-57568.55861220561,full,"GaussianMixture(n_components=7, n_init=100, random_state=5, reg_covar=0.001)",2.3645741121258523
34212.182690623384,0.671495609808822,0.9993224863590321,0.9732347089213708,2.9229354029904453e-05,3.3094811034238103,"{0: {'label': 0, 'median': 0.9998789321462505, 'mean': 0.9997425657846187, 'density': 0.9997425657846452, 'sum': 1420.6341859799431, 'count': 1421}, 1: {'label': 1, 'median': 0.9993224863590319, 'mean': 0.9978873483329521, 'density': 0.9978873483329737, 'sum': 1665.473984367697, 'count': 1669}, 2: {'label': 2, 'median': 0.8555083418837246, 'mean': 0.823348329120073, 'density': 0.8233483291200732, 'sum': 26.347146531842338, 'count': 32}, 3: {'label': 3, 'median': 0.3821605018396816, 'mean': 0.10079896118561105, 'density': 0.10079896118561106, 'sum': 3.5279636414963864, 'count': 35}, 4: {'label': 4, 'median': 0.5954908592348367, 'mean': 0.4859602702842741, 'density': 0.48596027028427413, 'sum': 17.494569730233867, 'count': 36}, 5: {'label': 5, 'median': 0.7268831194818913, 'mean': 0.6986263702171628, 'density': 0.6986263702171629, 'sum': 20.958791106514884, 'count': 30}, 6: {'label': 6, 'median': -0.9986940898959094, 'mean': -0.7968827415009295, 'density': -0.7968827415009295, 'sum': -7.9688274150092955, 'count': 10}}",7,7,-57263.809745094506,diag,"GaussianMixture(covariance_type='diag', n_components=7, n_init=100,
                random_state=5, reg_covar=0.001)",2.6379562642609584
