COUNTYGEOID,label,tri_chem_id,quantity_kg
02020,2,000319846,0.0
02110,2,000319846,0.0
02130,2,000319846,0.0
01027,2,000319846,0.0
01033,2,000319846,0.0
01083,2,000319846,0.0
01091,2,000319846,0.0
01093,2,000319846,0.0
01097,2,000319846,0.0
05027,2,000319846,0.0
05035,2,000319846,0.0
05085,2,000319846,0.0
06019,2,000319846,0.0
06065,2,000319846,0.0
06079,2,000319846,0.0
08089,2,000319846,0.0
12019,2,000319846,0.0
12083,2,000319846,0.0
12087,2,000319846,0.0
13063,2,000319846,0.0
13077,2,000319846,0.0
13081,2,000319846,0.0
13087,2,000319846,0.0
13115,2,000319846,0.0
13127,2,000319846,0.0
13261,2,000319846,0.0
19069,2,000319846,0.0
19079,2,000319846,0.0
19105,2,000319846,0.0
16023,2,000319846,0.0
17019,2,000319846,0.0
17049,2,000319846,0.0
17053,2,000319846,0.0
17063,2,000319846,0.0
17091,2,000319846,0.0
17099,2,000319846,0.0
17101,2,000319846,0.0
18021,2,000319846,0.0
18059,2,000319846,0.0
18083,2,000319846,0.0
18129,2,000319846,0.0
18173,2,000319846,0.0
20009,2,000319846,0.0
20015,2,000319846,0.0
20043,2,000319846,0.0
20113,2,000319846,0.0
20117,2,000319846,0.0
20125,2,000319846,0.0
20147,2,000319846,0.0
20159,2,000319846,0.0
21015,2,000319846,0.0
21019,2,000319846,0.0
21047,2,000319846,0.0
21091,2,000319846,0.0
21111,2,000319846,0.0
21117,2,000319846,0.0
21153,2,000319846,0.0
21169,2,000319846,0.0
21185,2,000319846,0.0
21199,2,000319846,0.0
21205,2,000319846,0.0
21209,2,000319846,0.0
22047,2,000319846,0.0
22063,2,000319846,0.0
22105,2,000319846,0.0
22121,2,000319846,0.0
24033,2,000319846,0.0
24043,2,000319846,0.0
23017,2,000319846,0.0
26017,2,000319846,0.0
26045,2,000319846,0.0
26057,2,000319846,0.0
26065,2,000319846,0.0
27015,2,000319846,0.0
27017,2,000319846,0.0
27141,2,000319846,0.0
29009,2,000319846,0.0
29021,2,000319846,0.0
28029,2,000319846,0.0
28033,2,000319846,0.0
28081,2,000319846,0.0
28133,2,000319846,0.0
28145,2,000319846,0.0
30013,2,000319846,0.0
30111,2,000319846,0.0
37023,2,000319846,0.0
37065,2,000319846,0.0
37145,2,000319846,0.0
38007,2,000319846,0.0
38059,2,000319846,0.0
38061,2,000319846,0.0
31047,2,000319846,0.0
31109,2,000319846,0.0
31173,2,000319846,0.0
34015,2,000319846,0.0
34041,2,000319846,0.0
35025,2,000319846,0.0
36051,2,000319846,0.0
36093,2,000319846,0.0
39037,2,000319846,0.0
39043,2,000319846,0.0
39045,2,000319846,0.0
39087,2,000319846,0.0
39091,2,000319846,0.0
39109,2,000319846,0.0
39129,2,000319846,0.0
39135,2,000319846,0.0
39145,2,000319846,0.0
39155,2,000319846,0.0
39159,2,000319846,0.0
40019,2,000319846,0.0
42003,2,000319846,0.0
42101,2,000319846,0.0
42121,2,000319846,0.0
72069,2,000319846,0.0
72151,2,000319846,0.0
45057,2,000319846,0.0
47069,2,000319846,0.0
47119,2,000319846,0.0
47187,2,000319846,0.0
48005,2,000319846,0.0
48039,2,000319846,0.0
48157,2,000319846,0.0
48183,2,000319846,0.0
48225,2,000319846,0.0
48233,2,000319846,0.0
48241,2,000319846,0.0
48303,2,000319846,0.0
48329,2,000319846,0.0
48349,2,000319846,0.0
48365,2,000319846,0.0
48367,2,000319846,0.0
48401,2,000319846,0.0
48449,2,000319846,0.0
48493,2,000319846,0.0
49027,2,000319846,0.0
49047,2,000319846,0.0
51013,2,000319846,0.0
51187,2,000319846,0.0
51670,2,000319846,0.0
51710,2,000319846,0.0
51840,2,000319846,0.0
53015,2,000319846,0.0
53057,2,000319846,0.0
53073,2,000319846,0.0
55031,2,000319846,0.0
55035,2,000319846,0.0
55115,2,000319846,0.0
54009,2,000319846,0.0
54099,2,000319846,0.0
54107,2,000319846,0.0
56007,2,000319846,0.0
56041,2,000319846,0.0
56045,2,000319846,0.0
02020,2,N078,0.0
02110,2,N078,0.0
02130,2,N078,0.0
01027,2,N078,0.0
01033,2,N078,0.0
01083,2,N078,0.0
01091,2,N078,0.0
01093,2,N078,0.0
01097,2,N078,0.0
05027,2,N078,0.0
05035,2,N078,0.0
05085,2,N078,0.0
06019,2,N078,0.0
06065,2,N078,0.0
06079,2,N078,0.0
08089,2,N078,0.0
12019,2,N078,0.0
12083,2,N078,0.0
12087,2,N078,0.0
13063,2,N078,0.0
13077,2,N078,0.0
13081,2,N078,0.0
13087,2,N078,0.0
13115,2,N078,0.0
13127,2,N078,0.0
13261,2,N078,0.0
19069,2,N078,0.0
19079,2,N078,0.0
19105,2,N078,0.0
16023,2,N078,0.0
17019,2,N078,0.0
17049,2,N078,0.0
17053,2,N078,0.0
17063,2,N078,0.0
17091,2,N078,234.05366292
17099,2,N078,0.0
17101,2,N078,0.0
18021,2,N078,0.0
18059,2,N078,0.0
18083,2,N078,0.0
18129,2,N078,70.76040972
18173,2,N078,0.0
20009,2,N078,0.0
20015,2,N078,24.94758035
20043,2,N078,0.0
20113,2,N078,0.0
20117,2,N078,0.0
20125,2,N078,0.0
20147,2,N078,0.0
20159,2,N078,0.0
21015,2,N078,0.0
21019,2,N078,391.45021531
21047,2,N078,0.0
21091,2,N078,0.0
21111,2,N078,5069.348327120001
21117,2,N078,0.0
21153,2,N078,0.0
21169,2,N078,0.0
21185,2,N078,0.0
21199,2,N078,0.0
21205,2,N078,0.0
21209,2,N078,1368.94177266
22047,2,N078,53.97749203
22063,2,N078,0.0
22105,2,N078,0.0
22121,2,N078,0.0
24033,2,N078,0.0
24043,2,N078,0.0
23017,2,N078,0.0
26017,2,N078,0.0
26045,2,N078,0.0
26057,2,N078,0.0
26065,2,N078,0.0
27015,2,N078,0.0
27017,2,N078,0.0
27141,2,N078,0.0
29009,2,N078,0.0
29021,2,N078,0.0
28029,2,N078,0.0
28033,2,N078,0.0
28081,2,N078,0.0
28133,2,N078,0.0
28145,2,N078,0.0
30013,2,N078,1.36077711
30111,2,N078,0.0
37023,2,N078,0.0
37065,2,N078,0.0
37145,2,N078,0.0
38007,2,N078,0.0
38059,2,N078,0.0
38061,2,N078,0.0
31047,2,N078,0.0
31109,2,N078,0.0
31173,2,N078,0.0
34015,2,N078,0.0
34041,2,N078,0.0
35025,2,N078,0.0
36051,2,N078,0.0
36093,2,N078,0.0
39037,2,N078,0.0
39043,2,N078,4.5359237000000014
39045,2,N078,0.0
39087,2,N078,0.0
39091,2,N078,0.0
39109,2,N078,0.0
39129,2,N078,0.0
39135,2,N078,0.0
39145,2,N078,0.0
39155,2,N078,47.62719885
39159,2,N078,0.0
40019,2,N078,0.0
42003,2,N078,1302.26369427
42101,2,N078,0.0
42121,2,N078,0.0
72069,2,N078,0.0
72151,2,N078,0.0
45057,2,N078,4.5359237000000014
47069,2,N078,0.0
47119,2,N078,0.0
47187,2,N078,0.0
48005,2,N078,0.0
48039,2,N078,0.0
48157,2,N078,0.0
48183,2,N078,0.0
48225,2,N078,0.0
48233,2,N078,0.0
48241,2,N078,0.0
48303,2,N078,0.0
48329,2,N078,0.0
48349,2,N078,0.0
48365,2,N078,0.0
48367,2,N078,0.0
48401,2,N078,0.0
48449,2,N078,0.0
48493,2,N078,0.0
49027,2,N078,0.0
49047,2,N078,0.0
51013,2,N078,0.0
51187,2,N078,0.0
51670,2,N078,0.0
51710,2,N078,0.0
51840,2,N078,9.0718474
53015,2,N078,0.0
53057,2,N078,0.0
53073,2,N078,25.40117272
55031,2,N078,0.0
55035,2,N078,0.0
55115,2,N078,0.0
54009,2,N078,0.0
54099,2,N078,0.0
54107,2,N078,1903.27358452
56007,2,N078,0.0
56041,2,N078,0.0
56045,2,N078,0.0
02020,2,000108907,0.0
02110,2,000108907,0.0
02130,2,000108907,0.0
01027,2,000108907,0.0
01033,2,000108907,0.0
01083,2,000108907,0.0
01091,2,000108907,0.0
01093,2,000108907,0.0
01097,2,000108907,6030.05696678
05027,2,000108907,0.0
05035,2,000108907,0.0
05085,2,000108907,0.0
06019,2,000108907,0.0
06065,2,000108907,0.0
06079,2,000108907,0.0
08089,2,000108907,0.0
12019,2,000108907,254.46531957
12083,2,000108907,0.0
12087,2,000108907,0.0
13063,2,000108907,0.0
13077,2,000108907,0.0
13081,2,000108907,0.0
13087,2,000108907,0.0
13115,2,000108907,0.0
13127,2,000108907,0.0
13261,2,000108907,0.0
19069,2,000108907,3.62873896
19079,2,000108907,156.03577528000002
19105,2,000108907,0.0
16023,2,000108907,0.0
17019,2,000108907,0.0
17049,2,000108907,0.0
17053,2,000108907,0.0
17063,2,000108907,0.0
17091,2,000108907,0.0
17099,2,000108907,0.0
17101,2,000108907,0.0
18021,2,000108907,0.0
18059,2,000108907,0.0
18083,2,000108907,0.0
18129,2,000108907,0.0
18173,2,000108907,0.0
20009,2,000108907,0.0
20015,2,000108907,0.0
20043,2,000108907,0.0
20113,2,000108907,0.0
20117,2,000108907,0.0
20125,2,000108907,1.81436948
20147,2,000108907,0.0
20159,2,000108907,0.0
21015,2,000108907,0.0
21019,2,000108907,1360.32351763
21047,2,000108907,0.0
21091,2,000108907,0.0
21111,2,000108907,0.0
21117,2,000108907,0.0
21153,2,000108907,0.0
21169,2,000108907,0.0
21185,2,000108907,0.0
21199,2,000108907,0.0
21205,2,000108907,0.0
21209,2,000108907,0.0
22047,2,000108907,99220.65474251703
22063,2,000108907,0.0
22105,2,000108907,0.0
22121,2,000108907,0.0
24033,2,000108907,0.0
24043,2,000108907,0.0
23017,2,000108907,0.0
26017,2,000108907,0.0
26045,2,000108907,0.0
26057,2,000108907,0.0
26065,2,000108907,0.0
27015,2,000108907,0.0
27017,2,000108907,0.0
27141,2,000108907,0.0
29009,2,000108907,0.0
29021,2,000108907,0.0
28029,2,000108907,0.0
28033,2,000108907,0.0
28081,2,000108907,0.0
28133,2,000108907,0.0
28145,2,000108907,0.0
30013,2,000108907,0.0
30111,2,000108907,0.0
37023,2,000108907,0.0
37065,2,000108907,0.0
37145,2,000108907,0.0
38007,2,000108907,0.0
38059,2,000108907,0.0
38061,2,000108907,0.0
31047,2,000108907,0.0
31109,2,000108907,0.0
31173,2,000108907,0.0
34015,2,000108907,24.49398798
34041,2,000108907,5517.95118105
35025,2,000108907,0.0
36051,2,000108907,0.0
36093,2,000108907,0.0
39037,2,000108907,0.0
39043,2,000108907,0.0
39045,2,000108907,0.0
39087,2,000108907,0.0
39091,2,000108907,0.0
39109,2,000108907,0.0
39129,2,000108907,0.0
39135,2,000108907,17.690102430000007
39145,2,000108907,0.0
39155,2,000108907,0.0
39159,2,000108907,0.0
40019,2,000108907,0.0
42003,2,000108907,2449.398798
42101,2,000108907,3525.31989964
42121,2,000108907,0.0
72069,2,000108907,0.0
72151,2,000108907,0.0
45057,2,000108907,0.0
47069,2,000108907,0.0
47119,2,000108907,49214.4138070277
47187,2,000108907,0.0
48005,2,000108907,0.0
48039,2,000108907,24518.93556035
48157,2,000108907,0.0
48183,2,000108907,0.0
48225,2,000108907,0.0
48233,2,000108907,0.0
48241,2,000108907,0.0
48303,2,000108907,0.0
48329,2,000108907,0.0
48349,2,000108907,0.0
48365,2,000108907,0.0
48367,2,000108907,0.0
48401,2,000108907,0.0
48449,2,000108907,0.0
48493,2,000108907,0.0
49027,2,000108907,0.0
49047,2,000108907,0.0
51013,2,000108907,0.0
51187,2,000108907,0.0
51670,2,000108907,0.0
51710,2,000108907,0.0
51840,2,000108907,0.0
53015,2,000108907,0.0
53057,2,000108907,0.0
53073,2,000108907,0.0
55031,2,000108907,0.0
55035,2,000108907,1238.9875586550004
55115,2,000108907,0.0
54009,2,000108907,0.0
54099,2,000108907,0.0
54107,2,000108907,0.0
56007,2,000108907,0.0
56041,2,000108907,0.0
56045,2,000108907,0.0
02020,2,000098828,362.8920396948
02110,2,000098828,9.570799007
02130,2,000098828,7.665711053000001
01027,2,000098828,701.70739639
01033,2,000098828,372849.75299341
01083,2,000098828,18888.738411419803
01091,2,000098828,7024.33144182
01093,2,000098828,39398.57966583002
01097,2,000098828,226348.62341271449
05027,2,000098828,2948.350405
05035,2,000098828,39.00894382
05085,2,000098828,300.73174131
06019,2,000098828,11.33980925
06065,2,000098828,1068.4821867720002
06079,2,000098828,279.10717866262
08089,2,000098828,174.451625502
12019,2,000098828,23978.707047680004
12083,2,000098828,209.55967494
12087,2,000098828,14.968548210000002
13063,2,000098828,1126.72344708
13077,2,000098828,9071.8474
13081,2,000098828,8.61825503
13087,2,000098828,7.25747792
13115,2,000098828,2921.1348628
13127,2,000098828,257955.71285715
13261,2,000098828,6128.9401034400025
19069,2,000098828,3.62873896
19079,2,000098828,1016.0469088
19105,2,000098828,68.94604024
16023,2,000098828,121.2134890351
17019,2,000098828,14.514955840000002
17049,2,000098828,98602.81657534
17053,2,000098828,16.329325320000002
17063,2,000098828,33.11224301
17091,2,000098828,2825.4268727300005
17099,2,000098828,440895.41237896006
17101,2,000098828,396.89332375
18021,2,000098828,817.4278818244002
18059,2,000098828,27658.248353120005
18083,2,000098828,8134.271971210002
18129,2,000098828,2375960.3789275205
18173,2,000098828,4622.1062502999985
20009,2,000098828,605.99940632
20015,2,000098828,1452295.9422937569
20043,2,000098828,6205.1436216
20113,2,000098828,13855.1966659876
20117,2,000098828,0.45359237
20125,2,000098828,1834.78113665
20147,2,000098828,536.59977371
20159,2,000098828,0.11022294590999998
21015,2,000098828,869.99016566
21019,2,000098828,307906.66541866
21047,2,000098828,11777.52588705
21091,2,000098828,44.8239980034
21111,2,000098828,36056.964676040014
21117,2,000098828,5.4431084400000005
21153,2,000098828,853.20724797
21169,2,000098828,2464.36734621
21185,2,000098828,2250.72533994
21199,2,000098828,3683.62363677
21205,2,000098828,115.029301380994
21209,2,000098828,8882.69938171
22047,2,000098828,970995.6973066198
22063,2,000098828,36.2873896
22105,2,000098828,0.264625788658
22121,2,000098828,499.8587917400001
24033,2,000098828,136.07771100000002
24043,2,000098828,25.40117272
23017,2,000098828,47.62719885
26017,2,000098828,9.52543977
26045,2,000098828,26852.668304000006
26057,2,000098828,1598.91310425
26065,2,000098828,19196.029098400002
27015,2,000098828,13.15417873
27017,2,000098828,22825.22165077
27141,2,000098828,210.46685968
29009,2,000098828,18.59728717
29021,2,000098828,7.25747792
28029,2,000098828,5976.07947475
28033,2,000098828,43.09127515
28081,2,000098828,133184.24527177
28133,2,000098828,5668.99744026
28145,2,000098828,361.22059717058715
30013,2,000098828,2137.3785033778104
30111,2,000098828,46078.54559471549
37023,2,000098828,1221.07066004
37065,2,000098828,7.860755772099999
37145,2,000098828,1202.0197805000005
38007,2,000098828,365.59545022
38059,2,000098828,7472.4807033800025
38061,2,000098828,0.90718474
31047,2,000098828,0.14968548210000002
31109,2,000098828,22821.13931944
31173,2,000098828,54.4310844
34015,2,000098828,1180111.223669763
34041,2,000098828,4936.44576271
35025,2,000098828,527.2013398035998
36051,2,000098828,4143.566299950001
36093,2,000098828,712.1400209
39037,2,000098828,189.60161066000003
39043,2,000098828,45.087081578
39045,2,000098828,90.718474
39087,2,000098828,5.8967008100000005
39091,2,000098828,11885.02727874
39109,2,000098828,2365.93780192
39129,2,000098828,147.825753383
39135,2,000098828,34.01942775
39145,2,000098828,2541612.3124515195
39155,2,000098828,30425.615402490013
39159,2,000098828,88774.37710218
40019,2,000098828,13833.705459497
42003,2,000098828,92953.32932225383
42101,2,000098828,4617525.883619588
42121,2,000098828,1526.79191742
72069,2,000098828,15522.83808614
72151,2,000098828,34.926612490000004
45057,2,000098828,54179.79422702
47069,2,000098828,1491.86530493
47119,2,000098828,43059.523684099986
47187,2,000098828,1878.77959654
48005,2,000098828,340.1942775
48039,2,000098828,636098.1011453096
48157,2,000098828,909.660175000038
48183,2,000098828,414.12983381
48225,2,000098828,97.6221498714
48233,2,000098828,60607.65170228999
48241,2,000098828,595.11318944
48303,2,000098828,1.81436948
48329,2,000098828,983.38825816
48349,2,000098828,7.71107029
48365,2,000098828,579.282815727
48367,2,000098828,15.387168608273
48401,2,000098828,69.97927829962299
48449,2,000098828,92.53284348
48493,2,000098828,1111.75489887
49027,2,000098828,0.5034875307000001
49047,2,000098828,1.1249090776
51013,2,000098828,17468.749353440002
51187,2,000098828,515.73452469
51670,2,000098828,1097.6935354
51710,2,000098828,7091.00952021
51840,2,000098828,44689.28106951001
53015,2,000098828,80.57161268310001
53057,2,000098828,4681.0324350866995
53073,2,000098828,77309.45829593827
55031,2,000098828,2123.583398629
55035,2,000098828,15133.202240310002
55115,2,000098828,330.28691295446015
54009,2,000098828,3718.7316862079997
54099,2,000098828,26.76194983
54107,2,000098828,230727.92366316004
56007,2,000098828,333.84398432
56041,2,000098828,75.7000306293
56045,2,000098828,409.33082653540004
02020,2,000075343,0.0
02110,2,000075343,0.0
02130,2,000075343,0.0
01027,2,000075343,0.0
01033,2,000075343,0.0
01083,2,000075343,0.0
01091,2,000075343,0.0
01093,2,000075343,0.0
01097,2,000075343,0.0
05027,2,000075343,0.0
05035,2,000075343,0.0
05085,2,000075343,0.0
06019,2,000075343,0.0
06065,2,000075343,0.0
06079,2,000075343,0.0
08089,2,000075343,0.0
12019,2,000075343,60.78137758
12083,2,000075343,0.0
12087,2,000075343,0.0
13063,2,000075343,0.0
13077,2,000075343,0.0
13081,2,000075343,0.0
13087,2,000075343,0.0
13115,2,000075343,0.0
13127,2,000075343,0.0
13261,2,000075343,0.0
19069,2,000075343,0.0
19079,2,000075343,0.0
19105,2,000075343,0.0
16023,2,000075343,0.0
17019,2,000075343,0.0
17049,2,000075343,0.0
17053,2,000075343,0.0
17063,2,000075343,0.0
17091,2,000075343,0.0
17099,2,000075343,0.0
17101,2,000075343,0.0
18021,2,000075343,0.0
18059,2,000075343,0.0
18083,2,000075343,0.0
18129,2,000075343,0.0
18173,2,000075343,0.0
20009,2,000075343,0.0
20015,2,000075343,0.0
20043,2,000075343,0.0
20113,2,000075343,0.0
20117,2,000075343,0.0
20125,2,000075343,0.0
20147,2,000075343,0.0
20159,2,000075343,0.0
21015,2,000075343,0.0
21019,2,000075343,0.0
21047,2,000075343,0.0
21091,2,000075343,0.0
21111,2,000075343,0.0
21117,2,000075343,0.0
21153,2,000075343,0.0
21169,2,000075343,0.0
21185,2,000075343,0.0
21199,2,000075343,0.0
21205,2,000075343,0.0
21209,2,000075343,0.0
22047,2,000075343,17107.943838647203
22063,2,000075343,0.0
22105,2,000075343,0.0
22121,2,000075343,0.0
24033,2,000075343,0.0
24043,2,000075343,0.0
23017,2,000075343,0.0
26017,2,000075343,0.0
26045,2,000075343,0.0
26057,2,000075343,0.0
26065,2,000075343,0.0
27015,2,000075343,0.0
27017,2,000075343,0.0
27141,2,000075343,0.0
29009,2,000075343,0.0
29021,2,000075343,0.0
28029,2,000075343,0.0
28033,2,000075343,0.0
28081,2,000075343,0.0
28133,2,000075343,0.0
28145,2,000075343,0.0
30013,2,000075343,0.0
30111,2,000075343,0.0
37023,2,000075343,0.0
37065,2,000075343,0.0
37145,2,000075343,0.0
38007,2,000075343,0.0
38059,2,000075343,0.0
38061,2,000075343,0.0
31047,2,000075343,0.0
31109,2,000075343,0.0
31173,2,000075343,0.0
