COUNTYGEOID,label,tri_chem_id,quantity_kg
01117,5,000319846,0.0
01125,5,000319846,0.0
05081,5,000319846,0.0
06059,5,000319846,0.0
06067,5,000319846,0.0
06073,5,000319846,0.0
06081,5,000319846,0.0
09011,5,000319846,0.0
12011,5,000319846,0.0
12031,5,000319846,0.0
12057,5,000319846,0.0
13089,5,000319846,0.0
13095,5,000319846,0.0
17113,5,000319846,0.0
18033,5,000319846,0.0
18133,5,000319846,0.0
22019,5,000319846,0.0
22051,5,000319846,0.0
25021,5,000319846,0.0
24510,5,000319846,0.0
26049,5,000319846,0.0
26139,5,000319846,0.0
27037,5,000319846,0.0
31019,5,000319846,0.0
34023,5,000319846,0.0
36117,5,000319846,0.0
42029,5,000319846,0.0
48121,5,000319846,0.0
51550,5,000319846,0.0
55131,5,000319846,0.0
01117,5,N078,0.0
01125,5,N078,104.54215506812
05081,5,N078,0.0
06059,5,N078,0.09525439770000002
06067,5,N078,0.0
06073,5,N078,0.0
06081,5,N078,0.0
09011,5,N078,0.0
12011,5,N078,0.0
12031,5,N078,202.55167282349998
12057,5,N078,0.0
13089,5,N078,0.0
13095,5,N078,0.0
17113,5,N078,0.0
18033,5,N078,637.75087222
18133,5,N078,266.71231356000004
22019,5,N078,25991.29639337
22051,5,N078,0.0
25021,5,N078,0.0
24510,5,N078,229.56309845700008
26049,5,N078,0.0
26139,5,N078,0.0
27037,5,N078,58.96700810000001
31019,5,N078,0.0
34023,5,N078,308.4428116
36117,5,N078,0.0
42029,5,N078,635.029318
48121,5,N078,0.0
51550,5,N078,4.5359237000000014
55131,5,N078,0.0
01117,5,000108907,0.0
01125,5,000108907,0.0
05081,5,000108907,3.5244127149000013
06059,5,000108907,1542.214058
06067,5,000108907,265.35153645
06073,5,000108907,0.0
06081,5,000108907,0.0
09011,5,000108907,0.0
12011,5,000108907,0.0
12031,5,000108907,0.0
12057,5,000108907,0.0
13089,5,000108907,0.0
13095,5,000108907,0.0
17113,5,000108907,0.0
18033,5,000108907,0.0
18133,5,000108907,423.337758921
22019,5,000108907,80074.92903795
22051,5,000108907,0.0
25021,5,000108907,29.029911680000005
24510,5,000108907,0.0
26049,5,000108907,0.0
26139,5,000108907,120258.22350388
27037,5,000108907,0.0
31019,5,000108907,0.0
34023,5,000108907,0.0
36117,5,000108907,0.0
42029,5,000108907,0.0
48121,5,000108907,0.0
51550,5,000108907,0.0
55131,5,000108907,0.0
01117,5,000098828,0.0
01125,5,000098828,62.14215469
05081,5,000098828,4.6447858688
06059,5,000098828,1338.0974915000004
06067,5,000098828,2.72155422
06073,5,000098828,4.0823313300000015
06081,5,000098828,0.0
09011,5,000098828,219.765503265
12011,5,000098828,364.5521877690001
12031,5,000098828,628.7697432939999
12057,5,000098828,213.1884139
13089,5,000098828,14773.95708327
13095,5,000098828,0.0
17113,5,000098828,0.0
18033,5,000098828,178.26180141
18133,5,000098828,3224.5427990929998
22019,5,000098828,63131.44872081743
22051,5,000098828,53.07030729
25021,5,000098828,175.54024719000003
24510,5,000098828,1484.4851756331525
26049,5,000098828,22011.02334662
26139,5,000098828,0.0
27037,5,000098828,6058.6332860899975
31019,5,000098828,0.0
34023,5,000098828,1632.3519337664004
36117,5,000098828,0.0
42029,5,000098828,355.8205346465001
48121,5,000098828,0.0
51550,5,000098828,4.0823313300000015
55131,5,000098828,0.0
01117,5,000075343,0.0
01125,5,000075343,0.0
05081,5,000075343,0.0
06059,5,000075343,0.0
06067,5,000075343,0.0
06073,5,000075343,0.0
06081,5,000075343,0.0
09011,5,000075343,0.0
12011,5,000075343,0.0
12031,5,000075343,0.0
12057,5,000075343,0.0
13089,5,000075343,0.0
13095,5,000075343,0.0
17113,5,000075343,0.0
18033,5,000075343,0.0
18133,5,000075343,0.0
22019,5,000075343,147260.57728997993
22051,5,000075343,0.0
25021,5,000075343,0.0
24510,5,000075343,0.0
26049,5,000075343,0.0
26139,5,000075343,0.0
27037,5,000075343,0.0
31019,5,000075343,0.0
34023,5,000075343,0.0
36117,5,000075343,0.0
42029,5,000075343,0.0
48121,5,000075343,53.52389966000001
51550,5,000075343,0.0
55131,5,000075343,0.0
01117,5,000067721,0.0
01125,5,000067721,0.0
05081,5,000067721,0.0
06059,5,000067721,0.0
06067,5,000067721,0.0
06073,5,000067721,0.0
06081,5,000067721,0.0
09011,5,000067721,0.0
12011,5,000067721,0.0
12031,5,000067721,0.0
12057,5,000067721,0.0
13089,5,000067721,0.0
13095,5,000067721,0.0
17113,5,000067721,0.0
18033,5,000067721,50575.54925500001
18133,5,000067721,0.0
22019,5,000067721,5656.070057714997
22051,5,000067721,0.0
25021,5,000067721,0.0
24510,5,000067721,0.0
26049,5,000067721,0.0
26139,5,000067721,0.0
27037,5,000067721,0.0
31019,5,000067721,0.0
34023,5,000067721,1.81436948
36117,5,000067721,0.0
42029,5,000067721,0.0
48121,5,000067721,0.0
51550,5,000067721,0.0
55131,5,000067721,0.0
01117,5,001634044,247.20784165000003
01125,5,001634044,67348.48791285999
05081,5,001634044,25.11540952690001
06059,5,001634044,5153.71650794
06067,5,001634044,11908.160489610002
06073,5,001634044,57884.28311281001
06081,5,001634044,8799.691978
09011,5,001634044,17377.1236947
12011,5,001634044,45816.503468197014
12031,5,001634044,21331.08838399
12057,5,001634044,45112.93634309
13089,5,001634044,11876.862616080005
13095,5,001634044,366.50263496
17113,5,001634044,9467.37994664
18033,5,001634044,68222.10681748
18133,5,001634044,2694.1572408520005
22019,5,001634044,328456.21414914005
22051,5,001634044,5701.656090899999
25021,5,001634044,61247.67053636001
24510,5,001634044,166782.82330771696
26049,5,001634044,24720.784165
26139,5,001634044,107259.17336442
27037,5,001634044,16769.76351127
31019,5,001634044,44475.63906324
34023,5,001634044,983524.8030711408
36117,5,001634044,2717.47188867
42029,5,001634044,33418.61680536348
48121,5,001634044,147.87111262000005
51550,5,001634044,45920.920431770995
55131,5,001634044,8897.604426988199
01117,5,000087865,0.0
01125,5,000087865,1083.17857956
05081,5,000087865,0.0
06059,5,000087865,0.0
06067,5,000087865,0.0
06073,5,000087865,0.0
06081,5,000087865,0.0
09011,5,000087865,0.0
12011,5,000087865,0.0
12031,5,000087865,0.0
12057,5,000087865,0.0
13089,5,000087865,0.0
13095,5,000087865,0.0
17113,5,000087865,0.0
18033,5,000087865,0.0
18133,5,000087865,0.0
22019,5,000087865,0.0
22051,5,000087865,0.0
25021,5,000087865,0.0
24510,5,000087865,0.0
26049,5,000087865,0.0
26139,5,000087865,0.0
27037,5,000087865,0.0
31019,5,000087865,0.0
34023,5,000087865,0.0
36117,5,000087865,0.0
42029,5,000087865,0.0
48121,5,000087865,0.0
51550,5,000087865,0.0
55131,5,000087865,0.0
01117,5,000079016,234.50725529
01125,5,000079016,54987.18864562
05081,5,000079016,17.377123694700003
06059,5,000079016,10938.833594920005
06067,5,000079016,6073.601834300001
06073,5,000079016,111596.42360636
06081,5,000079016,8422.756718530001
09011,5,000079016,25324.062017100005
12011,5,000079016,47718.82450874002
12031,5,000079016,12018.83702789
12057,5,000079016,48261.32098326
13089,5,000079016,25827.095955429995
13095,5,000079016,258.5476509
17113,5,000079016,14537.6354585
18033,5,000079016,78562.19848400001
18133,5,000079016,3260.875547930001
22019,5,000079016,775392.1161193899
22051,5,000079016,5604.13373135
25021,5,000079016,108939.73309527
24510,5,000079016,153099.21827662006
26049,5,000079016,19193.307544180007
26139,5,000079016,65382.16498891
27037,5,000079016,12383.071701
31019,5,000079016,35478.18081192
34023,5,000079016,543610.9509730899
36117,5,000079016,1732.7228534
42029,5,000079016,70571.26170171
48121,5,000079016,284.8560083600001
51550,5,000079016,28639.36864943
55131,5,000079016,17581.2402612
