calinski,davies,silhouette_median,silhouette_mean,calinski_inverse,density,clusters,r_clusters,n_clusters,inertia,model,score
55596.986311200075,0.5016945109684805,0.9964390304773032,0.9837371848884265,1.798658643838306e-05,4.093382892756267,"{0: {'label': 0, 'median': 0.9964390304773032, 'mean': 0.9904951407907586, 'density': 0.990495140790727, 'sum': 1683.8417393442896, 'count': 1700}, 1: {'label': 1, 'median': 0.9978350482342613, 'mean': 0.9946677110670644, 'density': 0.994667711067061, 'sum': 1426.3534976701703, 'count': 1434}, 2: {'label': 2, 'median': 0.8362230266713973, 'mean': 0.7777936666434867, 'density': 0.7777936666434866, 'sum': 27.222778332522036, 'count': 35}, 3: {'label': 3, 'median': 0.7302147405988919, 'mean': 0.6436802160675242, 'density': 0.6436802160675242, 'sum': 14.160964753485533, 'count': 22}, 4: {'label': 4, 'median': 0.8254997833544815, 'mean': 0.6867461581874689, 'density': 0.6867461581874686, 'sum': 28.843338643873693, 'count': 42}}",5,5,12.251787393328982,"KMeans(n_clusters=5, random_state=5)",3.5916703952013482
62288.928248809956,0.49650733207687797,0.99604362916018,0.983682658735132,1.6054217468721744e-05,4.8339687561603055,"{0: {'label': 0, 'median': 0.99604362916018, 'mean': 0.9887659104303509, 'density': 0.9887659104303641, 'sum': 1680.9020477315964, 'count': 1700}, 1: {'label': 1, 'median': 0.9985127122682045, 'mean': 0.995641008312174, 'density': 0.9956410083121942, 'sum': 1425.757923903033, 'count': 1432}, 2: {'label': 2, 'median': 0.843833455988023, 'mean': 0.7880660221447036, 'density': 0.7880660221447036, 'sum': 22.853914642196404, 'count': 29}, 3: {'label': 3, 'median': 0.5995257080090586, 'mean': 0.5657370344521175, 'density': 0.5657370344521175, 'sum': 10.183266620138117, 'count': 18}, 4: {'label': 4, 'median': 0.8094767030648354, 'mean': 0.7397096048354814, 'density': 0.7397096048354813, 'sum': 12.575063282203184, 'count': 17}, 5: {'label': 5, 'median': 0.8402252395394965, 'mean': 0.756049175985445, 'density': 0.756049175985445, 'sum': 27.973819511461464, 'count': 37}}",6,6,8.78166924573327,"KMeans(n_clusters=6, random_state=5)",4.337445369865959
65004.40319485765,0.4473986691883441,0.99604362916018,0.9832656058136983,1.5383573278911475e-05,5.6613028932862415,"{0: {'label': 0, 'median': 0.9984921717457446, 'mean': 0.9952910949669357, 'density': 0.9952910949669411, 'sum': 1425.256847992652, 'count': 1432}, 1: {'label': 1, 'median': 0.99604362916018, 'mean': 0.9887659104303509, 'density': 0.9887659104303641, 'sum': 1680.9020477315964, 'count': 1700}, 2: {'label': 2, 'median': 0.7527476125067457, 'mean': 0.638838669927371, 'density': 0.638838669927371, 'sum': 18.52632142789376, 'count': 29}, 3: {'label': 3, 'median': 0.8066676262036279, 'mean': 0.7432326997972998, 'density': 0.7432326997972999, 'sum': 6.689094298175698, 'count': 9}, 4: {'label': 4, 'median': 0.8402252395394965, 'mean': 0.756049175985445, 'density': 0.756049175985445, 'sum': 27.973819511461464, 'count': 37}, 5: {'label': 5, 'median': 0.7962973966747221, 'mean': 0.6547984674771907, 'density': 0.654798467477191, 'sum': 9.821977012157861, 'count': 15}, 6: {'label': 6, 'median': 0.9257566561449503, 'mean': 0.8843268747016289, 'density': 0.8843268747016287, 'sum': 9.727595621717917, 'count': 11}}",7,7,7.0247144594476785,"KMeans(n_clusters=7, random_state=5)",5.213888840524619
