COUNTYGEOID,C01,C02,C03,C04,label
02013,-0.08126137000484565,-0.01036624137520893,-0.016517745981884373,-0.032149770794370064,0
02016,-0.08126137000481236,-0.01036624137520736,-0.01651774598188183,-0.03214977079436406,0
02020,-0.13782209033268705,-0.08095249807865372,-0.11050704553059634,-0.11277289263114555,0
02050,-0.16740023676809615,-0.14128916816026268,-0.1990198044462551,-0.4868357285762322,4
02060,-0.16740023676809765,-0.14128916816024412,-0.19901980444623585,-0.4868357285762026,4
02068,-0.15057272827256413,-0.12786729667600968,-0.16765153542690886,-0.3154808277947924,4
02070,-0.08126137000484522,-0.010366241375207995,-0.016517745981883058,-0.032149770794379216,0
02090,-0.16438882725665682,-0.1777882213677397,0.6387278456076122,0.1840914588845358,3
02100,-0.08126137000484526,-0.010366241375209456,-0.01651774598188446,-0.032149770794365075,0
02105,-0.08126137000484525,-0.010366241375209456,-0.0165177459818778,-0.03214977079437282,0
02110,-0.16740023676809707,-0.14128916816026704,-0.199019804446252,-0.4868357285762322,4
02122,-0.16102047998814353,-0.11420685992744277,-0.14567567458827108,-0.21940134619595908,4
02130,-0.15567145334208216,-0.12619001679931136,-0.15665995276512926,-0.2715365903856433,4
02150,-0.08126137000484526,-0.010366241375208815,-0.01651774598188411,-0.03214977079436978,0
02158,-0.08126137000484526,-0.010366241375208841,-0.01651774598188415,-0.03214977079436978,0
02164,-0.08126137000484522,-0.010366241375208808,-0.016517745981884217,-0.0321497707943697,0
02170,-0.08126137000484522,-0.010366241375208815,-0.016517745981884182,-0.032149770794369766,0
02180,-0.08126137000484525,-0.010366241375208815,-0.016517745981884182,-0.032149770794369766,0
02185,-0.08126137000484525,-0.010366241375208815,-0.016517745981884182,-0.032149770794369766,0
02188,-0.1530228202575031,-0.16372022096506725,0.8590882475648914,0.14200455093157158,3
02195,-0.08126137000484525,-0.010366241375208815,-0.016517745981884175,-0.03214977079436975,0
02198,-0.08126137000484525,-0.010366241375208815,-0.016517745981884175,-0.03214977079436975,0
02220,-0.1506316855422178,-0.12788966246801908,-0.16758774669315402,-0.31504390147480194,4
02230,-0.08126137000484525,-0.010366241375208815,-0.016517745981884175,-0.032149770794369766,0
02240,-0.08126137000484525,-0.010366241375208815,-0.016517745981884175,-0.03214977079436975,0
02261,-0.16740023676809707,-0.14128916816026502,-0.1990198044462579,-0.4868357285762251,4
02275,-0.08126137000484525,-0.010366241375208815,-0.016517745981884182,-0.032149770794369766,0
02282,-0.08126137000484525,-0.010366241375208815,-0.016517745981884185,-0.03214977079436975,0
02290,-0.08126137000484525,-0.010366241375208815,-0.016517745981884185,-0.03214977079436975,0
01001,0.8920755653829368,-0.017780564821855378,-0.022695242082067944,0.01824124946199635,1
01003,-0.16456917174815086,0.8647935333859749,-0.07067835198591356,0.18039524391912906,2
01005,-0.10977493646931064,-0.03089916645887592,-0.04135415137051062,-0.07399301028323872,0
01007,-0.16740023676809707,-0.14128916816026496,-0.1990198044462578,-0.4868357285762251,4
01009,-0.15039653213082027,-0.1276425276719934,-0.16739932920243486,-0.31503202750989445,4
01011,-0.08126137000484521,-0.010366241375208815,-0.016517745981884175,-0.03214977079436975,0
01013,-0.1382336907493926,-0.07957173975331466,-0.10825743370196886,-0.105982555153104,0
01015,-0.11046194670963556,0.01296505514640007,-0.03501063128238743,-0.056162060582481785,0
01017,0.8756387408956076,-0.02088609191711371,-0.02648815779584813,0.010802719159829216,1
01019,-0.14913158680181762,-0.16070409416131262,0.8662719017551379,0.13034033034199954,3
01021,-0.1097640672634917,-0.030887679036815812,-0.04134530598060993,-0.07399206460815405,0
01023,0.8901303748698396,-0.0205871780112316,-0.026312468796281033,0.0111048117737593,1
01025,0.8916818362781147,-0.01936455255253633,-0.02474701759366333,0.01415641361999739,1
01027,-0.14187601205878128,-0.031128110467572568,-0.0868464547746521,-0.2051581083433761,0
01029,-0.1503965321308203,-0.12764252767199347,-0.16739932920243486,-0.3150320275098946,4
01031,-0.19348826853362666,-0.3568825494519953,-0.3725052967605804,0.7458217522244777,5
01033,-0.055170622619785406,-0.15408608366005133,0.8027185427187145,0.1042578620200622,3
01035,-0.08527376861145301,0.015078666460566385,-0.017030612131063168,-0.034630380693885195,0
01037,-0.16740023676809707,-0.14128916816026504,-0.19901980444625766,-0.4868357285762254,4
01039,-0.11081456317562596,-0.031666264656722835,-0.04039235498440363,-0.07454886445624684,0
01041,-0.08126137000484518,-0.010366241375208814,-0.016517745981884175,-0.03214977079436974,0
01043,0.5207879820614165,0.645378792965575,-0.04835467383674548,0.17269667494836724,2
01045,-0.17028428659911146,-0.14503439047987704,-0.1924583442855322,-0.4861094205082812,4
01047,0.8894101460265472,-0.02148884960120281,-0.027498116934567336,0.00872662099534054,1
01049,-0.08168392714747638,-0.010638683461711266,-0.016999628954334864,-0.03241187373704727,0
01051,-0.15706188691287568,0.8877763252516876,-0.05172193819217185,0.1946452280510049,2
01053,0.8917964980212488,-0.01791050112625379,-0.02307710950296766,0.017003401907682444,1
01055,-0.1880867419193692,-0.1898706721662126,-0.15405924591758766,-0.19704162671040085,4
01057,-0.21017204367346487,-0.3613109111636846,-0.3929947219003424,0.4489669553674253,5
01059,-0.11459544361234028,-0.0391404287299852,-0.051956225659151575,-0.09386997485686893,0
01061,-0.1097640672634917,-0.03088767903681589,-0.04134530598060994,-0.07399206460815408,0
01063,-0.14718132294498235,-0.15944686672243966,0.8577557104497939,0.13309241919822515,3
01065,-0.1097640672634917,-0.030887679036815906,-0.04134530598060992,-0.07399206460815409,0
01067,-0.08126137000484518,-0.010366241375208808,-0.01651774598188416,-0.03214977079436974,0
01069,-0.1551659212924113,-0.10480372986485828,0.06339091503868226,-0.18043842710420616,0
01071,0.8660634704114465,-0.043219099856669885,0.12588492015487915,0.04492349472630515,1
