calinski,davies,silhouette_median,silhouette_mean,calinski_inverse,density,clusters,r_clusters,n_clusters,bic,covariance_type,model,score
328615.8346510539,0.3126026342796144,0.9992519182840425,0.9973363927031897,3.043066993597148e-06,4.505882136668232,"{0: {'label': 0, 'median': 0.9992519182840425, 'mean': 0.9978023461633542, 'density': 0.9978023461633626, 'sum': 2177.204719328439, 'count': 2182}, 1: {'label': 1, 'median': 0.999928979763285, 'mean': 0.9998593070301551, 'density': 0.9998593070301715, 'sum': 1029.8550862410598, 'count': 1030}, 2: {'label': 2, 'median': 0.9291330262255207, 'mean': 0.8134820972155065, 'density': 0.8134820972155066, 'sum': 8.94830306937057, 'count': 11}, 3: {'label': 3, 'median': 0.9401112903279585, 'mean': 0.8007477127359848, 'density': 0.8007477127359849, 'sum': 4.804486276415909, 'count': 6}, 4: {'label': 4, 'median': 0.9150498862906915, 'mean': 0.893990673523207, 'density': 0.893990673523207, 'sum': 3.575962694092828, 'count': 4}}",5,5,-59289.45115390245,full,"GaussianMixture(n_components=5, n_init=100, random_state=5, reg_covar=0.001)",4.193276459321624
356425.7102713192,0.34454347992474543,0.99924509670358,0.9975351470374402,2.8056337440943238e-06,4.545476239984975,"{0: {'label': 0, 'median': 0.999928979763285, 'mean': 0.9998580740123605, 'density': 0.9998580740123769, 'sum': 1029.8538162327313, 'count': 1030}, 1: {'label': 1, 'median': 0.99924509670358, 'mean': 0.9977635520497015, 'density': 0.9977635520497065, 'sum': 2177.1200705724486, 'count': 2182}, 2: {'label': 2, 'median': 0.9808360533767049, 'mean': 0.9680777633151834, 'density': 0.9680777633151834, 'sum': 9.680777633151834, 'count': 10}, 3: {'label': 3, 'median': 0.883436069811409, 'mean': 0.685786177084501, 'density': 0.685786177084501, 'sum': 4.800503239591507, 'count': 7}, 4: {'label': 4, 'median': 0.9150498862906915, 'mean': 0.893990673523207, 'density': 0.893990673523207, 'sum': 3.575962694092828, 'count': 4}}",5,5,-59525.35488168601,diag,"GaussianMixture(covariance_type='diag', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",4.200929954426485
372581.25054914027,0.30158329234104747,0.99924509670358,0.9973967294251508,2.6839783229191468e-06,4.65797415866819,"{0: {'label': 0, 'median': 0.999589098728886, 'mean': 0.9984565332733054, 'density': 0.9984565332733194, 'sum': 1029.4086858047779, 'count': 1031}, 1: {'label': 1, 'median': 0.99924509670358, 'mean': 0.997763578993874, 'density': 0.997763578993879, 'sum': 2177.120129364633, 'count': 2182}, 2: {'label': 2, 'median': 0.9808401770713545, 'mean': 0.968084700818987, 'density': 0.9680847008189869, 'sum': 9.68084700818987, 'count': 10}, 3: {'label': 3, 'median': 0.9134572581277571, 'mean': 0.7996433357788172, 'density': 0.7996433357788171, 'sum': 4.797860014672903, 'count': 6}, 4: {'label': 4, 'median': 0.9150731767272537, 'mean': 0.8940260098031875, 'density': 0.8940260098031875, 'sum': 3.57610403921275, 'count': 4}}",5,5,-58166.21894567062,tied,"GaussianMixture(covariance_type='tied', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",4.3563881823488195
107313.31739181177,1.025857782073228,0.9999967956973823,0.9910258022201885,9.318507938291564e-06,3.18497584610836,"{0: {'label': 0, 'median': 0.9999431748027553, 'mean': 0.9998856633798329, 'density': 0.9998856633798356, 'sum': 1027.8824619544682, 'count': 1028}, 1: {'label': 1, 'median': 0.9999967956973823, 'mean': 0.9999935462869788, 'density': 0.9999935462869891, 'sum': 2177.9859438130397, 'count': 2178}, 2: {'label': 2, 'median': -0.9616368301415472, 'mean': -0.800470358510753, 'density': -0.8004703585107529, 'sum': -12.807525736172048, 'count': 16}, 3: {'label': 3, 'median': 0.9919362481066186, 'mean': 0.9878634232063896, 'density': 0.9878634232063898, 'sum': 4.9393171160319485, 'count': 5}, 4: {'label': 4, 'median': 0.9983748891679418, 'mean': 0.9977035717458982, 'density': 0.9977035717458982, 'sum': 5.986221430475389, 'count': 6}}",5,5,-60407.132140892325,spherical,"GaussianMixture(covariance_type='spherical', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",2.1591087455271936
341357.1618361294,0.397470579095649,0.9999984400926732,0.9946618100759457,2.9294829925966405e-06,3.588665389923565,"{0: {'label': 0, 'median': 0.9999984400926732, 'mean': 0.9999968706752, 'density': 0.9999968706751918, 'sum': 2176.9931874599106, 'count': 2177}, 1: {'label': 1, 'median': 0.9999290874450356, 'mean': 0.9998595051528353, 'density': 0.9998595051528434, 'sum': 1027.8555712971147, 'count': 1028}, 2: {'label': 2, 'median': 0.929131335935648, 'mean': 0.8134801989654207, 'density': 0.8134801989654205, 'sum': 8.948282188619627, 'count': 11}, 3: {'label': 3, 'median': 0.9401104342792792, 'mean': 0.8007425939477738, 'density': 0.8007425939477737, 'sum': 4.804455563686643, 'count': 6}, 4: {'label': 4, 'median': 0.9150489148053105, 'mean': 0.8939893606888969, 'density': 0.8939893606888969, 'sum': 3.5759574427555876, 'count': 4}, 5: {'label': 5, 'median': -0.9999189110837637, 'mean': -0.9194031395065608, 'density': -0.9194031395065608, 'sum': -6.435821976545926, 'count': 7}}",6,6,-60158.88731219373,full,"GaussianMixture(n_components=6, n_init=100, random_state=5, reg_covar=0.001)",3.1911918813449236
379804.4268944319,0.4176270000212911,0.9999984400926732,0.9948724975092658,2.632934029170634e-06,3.621717067036191,"{0: {'label': 0, 'median': 0.9999290874450356, 'mean': 0.9998582693827536, 'density': 0.9998582693827618, 'sum': 1027.8543009254706, 'count': 1028}, 1: {'label': 1, 'median': 0.9999984400926732, 'mean': 0.9999968706752, 'density': 0.9999968706751918, 'sum': 2176.9931874599106, 'count': 2177}, 2: {'label': 2, 'median': 0.9808355962861424, 'mean': 0.9680768851011219, 'density': 0.9680768851011219, 'sum': 9.68076885101122, 'count': 10}, 3: {'label': 3, 'median': 0.8834343978581526, 'mean': 0.685781192310874, 'density': 0.6857811923108739, 'sum': 4.8004683461761175, 'count': 7}, 4: {'label': 4, 'median': 0.9150489148053105, 'mean': 0.8939893606888969, 'density': 0.8939893606888969, 'sum': 3.5759574427555876, 'count': 4}, 5: {'label': 5, 'median': -0.9999189110837637, 'mean': -0.9259855111226549, 'density': -0.9259855111226549, 'sum': -6.481898577858584, 'count': 7}}",6,6,-60442.953963467044,diag,"GaussianMixture(covariance_type='diag', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",3.2040874340808707
436099.29278483515,0.33237671933504864,0.9999970126438756,0.9965427841537593,2.293055770886987e-06,3.754148440478853,"{0: {'label': 0, 'median': 0.9995885450587394, 'mean': 0.9984504881180115, 'density': 0.998450488118028, 'sum': 1027.4055522734338, 'count': 1029}, 1: {'label': 1, 'median': 0.9999970126438756, 'mean': 0.9999938831823871, 'density': 0.9999938831823713, 'sum': 2179.986665337604, 'count': 2180}, 2: {'label': 2, 'median': 0.9808397286351239, 'mean': 0.9680838373149976, 'density': 0.9680838373149978, 'sum': 9.680838373149976, 'count': 10}, 3: {'label': 3, 'median': 0.913455901912323, 'mean': 0.7996421287402299, 'density': 0.7996421287402299, 'sum': 4.797852772441379, 'count': 6}, 4: {'label': 4, 'median': 0.9150722520076249, 'mean': 0.8940247678414512, 'density': 0.8940247678414512, 'sum': 3.576099071365805, 'count': 4}, 5: {'label': 5, 'median': -0.9985751184888447, 'mean': -0.9060466647182255, 'density': -0.9060466647182255, 'sum': -3.624186658872902, 'count': 4}}",6,6,-58894.26017673393,tied,"GaussianMixture(covariance_type='tied', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",3.4217694280880337
267217.1379933057,0.6387266615209708,0.999995707302636,0.9944480202522902,3.7422749435519063e-06,3.0585293094010604,"{0: {'label': 0, 'median': 0.9999159213333068, 'mean': 0.9998371597788648, 'density': 0.9998371597788467, 'sum': 1027.832600252673, 'count': 1028}, 1: {'label': 1, 'median': 0.999995707302636, 'mean': 0.9999913684199013, 'density': 0.9999913684199208, 'sum': 2177.981200418545, 'count': 2178}, 2: {'label': 2, 'median': 0.9808355962861424, 'mean': 0.9680768851011219, 'density': 0.9680768851011219, 'sum': 9.68076885101122, 'count': 10}, 3: {'label': 3, 'median': 0.2643689095648482, 'mean': 0.02449372051827774, 'density': 0.024493720518277744, 'sum': 0.14696232310966645, 'count': 6}, 4: {'label': 4, 'median': 0.9919362481066186, 'mean': 0.9878634232063896, 'density': 0.9878634232063898, 'sum': 4.9393171160319485, 'count': 5}, 5: {'label': 5, 'median': -0.9999227381796743, 'mean': -0.9217332476234968, 'density': -0.9217332476234967, 'sum': -5.530399485740981, 'count': 6}}",6,6,-60419.21340236567,spherical,"GaussianMixture(covariance_type='spherical', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",2.419798905605146
