calinski,davies,silhouette_median,silhouette_mean,calinski_inverse,density,clusters,r_clusters,n_clusters,likelihood_lower,covariance_type,model,score
16565.040236678888,1.6065321894198175,0.9999998166746217,0.9006983773448356,6.0368099667259806e-05,0.8666201161976028,"{0: {'label': 0, 'median': 0.9999998166746217, 'mean': 0.9999996353978943, 'density': 0.9999996353979419, 'sum': 2315.999155581523, 'count': 2316}, 1: {'label': 1, 'median': 0.9999915859307142, 'mean': 0.9999837619179603, 'density': 0.9999837619179548, 'sum': 736.9880325335367, 'count': 737}, 2: {'label': 2, 'median': -0.9987168215701223, 'mean': -0.8862841235953012, 'density': -0.8862841235953014, 'sum': -100.15010596626904, 'count': 113}, 3: {'label': 3, 'median': -0.9488516402724301, 'mean': -0.7163046045073683, 'density': -0.7163046045073683, 'sum': -43.694580874949466, 'count': 61}, 4: {'label': 4, 'median': 0.8179667163243949, 'mean': 0.46922544698437596, 'density': 0.4692254469843759, 'sum': 2.8153526819062558, 'count': 6}}",5,5,66595.615457451,full,"BayesianGaussianMixture(n_components=5, n_init=18, random_state=5)",-0.739972441321882
16142.267297855631,1.7718707321181904,0.9999998075282988,0.8986084628582814,6.194916621984335e-05,0.8593569759627171,"{0: {'label': 0, 'median': 0.9999998075282988, 'mean': 0.9999996172458392, 'density': 0.9999996172458129, 'sum': 2316.9991131586094, 'count': 2317}, 1: {'label': 1, 'median': 0.9999941539277116, 'mean': 0.999988705309751, 'density': 0.9999887053097554, 'sum': 732.9917209920475, 'count': 733}, 2: {'label': 2, 'median': -0.9990398497715095, 'mean': -0.8890723140737804, 'density': -0.8890723140737805, 'sum': -105.79960537477987, 'count': 119}, 3: {'label': 3, 'median': -0.9471506687500941, 'mean': -0.7207829646130968, 'density': -0.7207829646130969, 'sum': -41.80541194755961, 'count': 58}, 4: {'label': 4, 'median': 0.8179667513954552, 'mean': 0.4692239320940262, 'density': 0.4692239320940262, 'sum': 2.8153435925641572, 'count': 6}}",5,5,66524.2364387503,diag,"BayesianGaussianMixture(covariance_type='diag', n_components=5, n_init=18,
                        random_state=5)",-0.9125757053216932
64471.65225629055,0.543392052476162,0.998092403484323,0.9656238343139395,1.551069291701655e-05,3.021793798203289,"{0: {'label': 0, 'median': 0.998092403484323, 'mean': 0.9959203453720962, 'density': 0.9959203453720655, 'sum': 2340.412811624426, 'count': 2350}, 1: {'label': 1, 'median': 0.9892860501477538, 'mean': 0.980001145347536, 'density': 0.9800011453475436, 'sum': 799.6809346035894, 'count': 816}, 2: {'label': 2, 'median': -0.9365664437367733, 'mean': -0.617195244193551, 'density': -0.617195244193551, 'sum': -30.85976220967755, 'count': 50}, 3: {'label': 3, 'median': 0.8859475718858659, 'mean': 0.663955790220621, 'density': 0.663955790220621, 'sum': 8.631425272868073, 'count': 13}, 4: {'label': 4, 'median': 0.9991976336981506, 'mean': 0.9991117614566097, 'density': 0.9991117614566097, 'sum': 3.996447045826439, 'count': 4}}",5,5,38894.5149254266,tied,"BayesianGaussianMixture(covariance_type='tied', n_components=5, n_init=18,
                        random_state=5)",2.47838623503421
32739.155098600448,0.7716132992512624,0.999993847878242,0.9206653495454438,3.054446570133841e-05,1.275602072760137,"{0: {'label': 0, 'median': 0.999993847878242, 'mean': 0.9999876596237517, 'density': 0.9999876596237892, 'sum': 2316.971407348233, 'count': 2317}, 1: {'label': 1, 'median': 0.999554892126426, 'mean': 0.9991192640292729, 'density': 0.9991192640292783, 'sum': 764.3262369823938, 'count': 765}, 2: {'label': 2, 'median': 0.9757426758703807, 'mean': 0.953830569614265, 'density': 0.9538305696142652, 'sum': 8.584475126528385, 'count': 9}, 3: {'label': 3, 'median': -0.9362938375848617, 'mean': -0.7520045211750428, 'density': -0.752004521175043, 'sum': -78.20847020220445, 'count': 104}, 4: {'label': 4, 'median': -0.994335367631943, 'mean': -0.9253308993321528, 'density': -0.9253308993321527, 'sum': -35.16257417462181, 'count': 38}}",5,5,53277.02242852502,spherical,"BayesianGaussianMixture(covariance_type='spherical', n_components=5, n_init=18,
                        random_state=5)",0.5039582290431731
14200.380016512168,1.464812534233694,0.9999998459559044,0.895091789861599,7.04206506330959e-05,0.519629744000873,"{0: {'label': 0, 'median': 0.9999998459559044, 'mean': 0.9999996937585238, 'density': 0.9999996937585303, 'sum': 2314.9992910509827, 'count': 2315}, 1: {'label': 1, 'median': 0.9999961502765753, 'mean': 0.9999925582676625, 'density': 0.9999925582676576, 'sum': 724.9946047440553, 'count': 725}, 2: {'label': 2, 'median': -0.9993615917166725, 'mean': -0.9868003752788305, 'density': -0.9868003752788302, 'sum': -114.46884353234434, 'count': 116}, 3: {'label': 3, 'median': -0.7558366136583414, 'mean': -0.41543131401946537, 'density': -0.4154313140194654, 'sum': -13.709233362642356, 'count': 33}, 4: {'label': 4, 'median': -0.8179983703458324, 'mean': -0.5473524176609622, 'density': -0.5473524176609621, 'sum': -20.799391871116562, 'count': 38}, 5: {'label': 5, 'median': 0.8179662265368755, 'mean': 0.46922159893394283, 'density': 0.46922159893394283, 'sum': 2.815329593603657, 'count': 6}}",6,6,66809.29460712736,full,"BayesianGaussianMixture(n_components=6, n_init=18, random_state=5)",-0.9452532108834539
14096.989954878356,1.523801824931528,0.9999998459559044,0.8941788268814547,7.093712935887732e-05,0.48671321790537053,"{0: {'label': 0, 'median': 0.9999998459559044, 'mean': 0.9999996937585238, 'density': 0.9999996937585303, 'sum': 2314.9992910509827, 'count': 2315}, 1: {'label': 1, 'median': 0.9999963150978807, 'mean': 0.9999928671000649, 'density': 0.9999928671000741, 'sum': 723.9948357804469, 'count': 724}, 2: {'label': 2, 'median': -0.9993960574590086, 'mean': -0.9882074015901913, 'density': -0.9882074015901913, 'sum': -114.63205858446219, 'count': 116}, 3: {'label': 3, 'median': -0.7554374814030419, 'mean': -0.41336583544735317, 'density': -0.4133658354473533, 'sum': -13.641072569762654, 'count': 33}, 4: {'label': 4, 'median': -0.8199070197057228, 'mean': -0.5809276283027113, 'density': -0.5809276283027112, 'sum': -22.65617750380574, 'count': 39}, 5: {'label': 5, 'median': 0.8179662265368755, 'mean': 0.4692215223870222, 'density': 0.46922152238702214, 'sum': 2.815329134322133, 'count': 6}}",6,6,66756.1035332318,diag,"BayesianGaussianMixture(covariance_type='diag', n_components=6, n_init=18,
                        random_state=5)",-1.0371595441555161
74877.57344577592,0.5562130683433973,0.999112726536925,0.9594325108755375,1.3355133639903138e-05,3.375958230060591,"{0: {'label': 0, 'median': 0.9991127265369251, 'mean': 0.9977154109901658, 'density': 0.9977154109901721, 'sum': 2343.6335004158996, 'count': 2349}, 1: {'label': 1, 'median': 0.9590768354646153, 'mean': 0.9409557709503291, 'density': 0.9409557709503226, 'sum': 766.8789533245182, 'count': 815}, 2: {'label': 2, 'median': -0.8935671032263534, 'mean': -0.7061490509270119, 'density': -0.7061490509270117, 'sum': -27.53981298615346, 'count': 39}, 3: {'label': 3, 'median': 0.8841553480505516, 'mean': 0.6625523769494964, 'density': 0.6625523769494964, 'sum': 8.613180900343453, 'count': 13}, 4: {'label': 4, 'median': 0.7297141272650174, 'mean': 0.48177234640059446, 'density': 0.4817723464005945, 'sum': 6.263040503207728, 'count': 13}, 5: {'label': 5, 'median': 0.9991972539528451, 'mean': 0.9991113756970169, 'density': 0.9991113756970169, 'sum': 3.9964455027880676, 'count': 4}}",6,6,40578.01095824626,tied,"BayesianGaussianMixture(covariance_type='tied', n_components=6, n_init=18,
                        random_state=5)",2.8197318065835537
40021.929250032874,1.1463864828479828,0.9999967050109502,0.9230737375961248,2.4986301728549946e-05,1.2776014589827205,"{0: {'label': 0, 'median': 0.9999967050109502, 'mean': 0.9999934038176789, 'density': 0.9999934038176854, 'sum': 2316.984716645562, 'count': 2317}, 1: {'label': 1, 'median': 0.9985465880273535, 'mean': 0.9970462615121887, 'density': 0.9970462615121893, 'sum': 759.7492512722878, 'count': 762}, 2: {'label': 2, 'median': 0.05779600639070476, 'mean': -0.02626602030486418, 'density': -0.026266020304864166, 'sum': -0.3151922436583702, 'count': 12}, 3: {'label': 3, 'median': -0.8617443644781734, 'mean': -0.6601259386036327, 'density': -0.6601259386036323, 'sum': -55.45057884270515, 'count': 84}, 4: {'label': 4, 'median': -0.9966661689412009, 'mean': -0.9563247554958898, 'density': -0.9563247554958899, 'sum': -45.90358826380271, 'count': 48}, 5: {'label': 5, 'median': 0.9628529361251639, 'mean': 0.9232785080572322, 'density': 0.9232785080572322, 'sum': 9.232785080572322, 'count': 10}}",6,6,53376.731690244094,spherical,"BayesianGaussianMixture(covariance_type='spherical', n_components=6, n_init=18,
                        random_state=5)",0.1311899898330091
