COUNTYGEOID,C01,C02,C03,C04,C05,C06,label
02013,-0.12542718085978005,-0.1212611686098987,-0.08976155029994416,-0.04167633839816543,-0.045278410666311095,-0.02286867185603273,0
02016,-0.12542718085976928,-0.1212611686099186,-0.08976155029997887,-0.041676338398192084,-0.045278410666338316,-0.022868671856047185,0
02020,-0.12542718085978274,-0.12126116860988975,-0.08976155029994277,-0.04167633839817317,-0.045278410666325535,-0.02286867185604524,0
02050,-0.12542718085979507,-0.12126116860986375,-0.08976155029999258,-0.04167633839817583,-0.045278410666324126,-0.02286867185603561,0
02060,-0.12542718085978166,-0.12126116860989213,-0.08976155029996412,-0.04167633839815247,-0.04527841066629831,-0.02286867185602716,0
02068,-0.12542718085978072,-0.12126116860989945,-0.08976155029994351,-0.04167633839816548,-0.04527841066631192,-0.02286867185603483,0
02070,-0.12542718085978086,-0.12126116860989912,-0.08976155029994683,-0.04167633839815247,-0.045278410666304544,-0.02286867185603301,0
02090,-0.14859138943916295,-0.15355792846881236,-0.15912878648386142,-0.08820155339059464,-0.17143595658877206,-0.5356111903163002,0
02100,-0.12542718085978086,-0.12126116860989936,-0.08976155029994473,-0.041676338398154836,-0.04527841066632441,-0.022868671856043157,0
02105,-0.12542718085978075,-0.12126116860989936,-0.08976155029994462,-0.04167633839816045,-0.045278410666323834,-0.022868671855993204,0
02110,-0.12542718085978075,-0.12126116860989936,-0.08976155029994462,-0.04167633839816607,-0.045278410666313065,-0.022868671856025983,0
02122,-0.16174084865414903,-0.004682350948577061,-0.2067433858851643,0.9068367275449938,0.1716223492476551,-0.003534705073986007,5
02130,-0.15766298154812025,-0.09468629523279648,-0.1878301155289944,-0.3047624690898309,0.8867052780023037,0.0956308672293495,4
02150,-0.12542718085978075,-0.12126116860989936,-0.08976155029994462,-0.04167633839816569,-0.0452784106663114,-0.022868671856032943,0
02158,-0.1254271808597808,-0.12126116860989936,-0.08976155029994462,-0.04167633839816569,-0.045278410666311414,-0.022868671856032943,0
02164,-0.1254271808597808,-0.12126116860989936,-0.08976155029994462,-0.04167633839816569,-0.04527841066631138,-0.022868671856032943,0
02170,-0.12542718085978075,-0.12126116860989936,-0.08976155029994462,-0.04167633839816569,-0.045278410666311414,-0.022868671856032943,0
02180,-0.1254271808597808,-0.12126116860989936,-0.0897615502999446,-0.04167633839816569,-0.04527841066631141,-0.02286867185603294,0
02185,-0.1254271808597808,-0.12126116860989936,-0.0897615502999446,-0.04167633839816568,-0.04527841066631141,-0.02286867185603294,0
02188,-0.1254271808597808,-0.12126116860989936,-0.08976155029994462,-0.04167633839816569,-0.045278410666311414,-0.022868671856032943,0
02195,-0.1254271808597808,-0.12126116860989936,-0.08976155029994462,-0.04167633839816569,-0.045278410666311414,-0.022868671856032943,0
