calinski,davies,silhouette_median,silhouette_mean,calinski_inverse,density,clusters,r_clusters,n_clusters,bic,covariance_type,model,score
3910.941375777418,0.7669905848151792,0.9317382625986282,0.7880181164577176,0.00025569291480397597,3.757890906232923,"{0: {'label': 0, 'median': 0.9331566622199648, 'mean': 0.8626594017025049, 'density': 0.8626594017025045, 'sum': 1299.1650589639723, 'count': 1506}, 1: {'label': 1, 'median': 0.9441280169064002, 'mean': 0.8687276063655465, 'density': 0.8687276063655472, 'sum': 317.08557632342445, 'count': 365}, 2: {'label': 2, 'median': 0.9999903133171272, 'mean': 0.9999810037982625, 'density': 0.9999810037982635, 'sum': 568.9891911612114, 'count': 569}, 3: {'label': 3, 'median': 0.5856788005393858, 'mean': 0.3185296412568078, 'density': 0.3185296412568075, 'sum': 162.7686466822288, 'count': 511}, 4: {'label': 4, 'median': 0.887734729405617, 'mean': 0.7079932531097999, 'density': 0.7079932531098001, 'sum': 199.65409737696356, 'count': 282}}",5,5,-32329.374766839406,full,"GaussianMixture(n_components=5, n_init=100, random_state=5, reg_covar=0.001)",2.99064462850294
3311.5629537919303,0.9865511140007592,0.9329125244833165,0.6898966628318918,0.0003019722149189229,3.099574900295023,"{0: {'label': 0, 'median': 0.9338322661063789, 'mean': 0.8718544330721915, 'density': 0.8718544330721897, 'sum': 1326.0905927028032, 'count': 1521}, 1: {'label': 1, 'median': 0.999981820080289, 'mean': 0.9999647996662511, 'density': 0.9999647996662577, 'sum': 570.9799006094294, 'count': 571}, 2: {'label': 2, 'median': -0.0004747887111057204, 'mean': -0.165330978593663, 'density': -0.16533097859366297, 'sum': -78.69754581058359, 'count': 476}, 3: {'label': 3, 'median': 0.6301620458693851, 'mean': 0.4043242007259835, 'density': 0.40432420072598385, 'sum': 169.8161643049131, 'count': 420}, 4: {'label': 4, 'median': 0.9935897432839131, 'mean': 0.9887624454242548, 'density': 0.988762445424255, 'sum': 242.24679912894243, 'count': 245}}",5,5,-29994.61172272885,diag,"GaussianMixture(covariance_type='diag', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",2.112721814079345
6233.332477417749,0.40440766714334975,0.8125270342451296,0.7104318218625548,0.00016042782951540313,4.1802586522146985,"{0: {'label': 0, 'median': 0.7941125287546624, 'mean': 0.5544938733942819, 'density': 0.5544938733942812, 'sum': 1051.8748778289528, 'count': 1897}, 1: {'label': 1, 'median': 0.9999344877700134, 'mean': 0.9998744390131981, 'density': 0.9998744390131934, 'sum': 575.9276768716021, 'count': 576}, 2: {'label': 2, 'median': 0.9597791146980714, 'mean': 0.9075831028987973, 'density': 0.9075831028987972, 'sum': 212.37444607831856, 'count': 234}, 3: {'label': 3, 'median': 0.975363642163895, 'mean': 0.9331266808894326, 'density': 0.9331266808894311, 'sum': 275.2723708623826, 'count': 295}, 4: {'label': 4, 'median': 0.9220589838409081, 'mean': 0.7851805560189952, 'density': 0.7851805560189953, 'sum': 181.3767084403879, 'count': 231}}",5,5,-18828.68638865622,tied,"GaussianMixture(covariance_type='tied', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",3.775690557241833
2810.471072875779,1.0208758892532566,0.9527450457095908,0.6347220348919256,0.0003558122371908146,3.5791907926339213,"{0: {'label': 0, 'median': -0.3787766183981177, 'mean': -0.3006474644709419, 'density': -0.300647464470942, 'sum': -235.10631721627658, 'count': 782}, 1: {'label': 1, 'median': 0.9999935238131906, 'mean': 0.9999872827739563, 'density': 0.9999872827739534, 'sum': 566.9927893328332, 'count': 567}, 2: {'label': 2, 'median': 0.9509492845229701, 'mean': 0.8928031062510806, 'density': 0.8928031062510801, 'sum': 1343.6686749078763, 'count': 1505}, 3: {'label': 3, 'median': 0.9964045557072972, 'mean': 0.9943025168462782, 'density': 0.9943025168462785, 'sum': 160.0827052122508, 'count': 161}, 4: {'label': 4, 'median': 0.9959599607615373, 'mean': 0.9927453512335516, 'density': 0.9927453512335512, 'sum': 216.41848656891423, 'count': 218}}",5,5,-29716.041196343765,spherical,"GaussianMixture(covariance_type='spherical', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",2.557959091143474
2737.1244389699605,1.330152432345506,0.937161914359921,0.733423503827869,0.0003653469260521899,2.971489963284137,"{0: {'label': 0, 'median': 0.7292977680565366, 'mean': 0.393670672927835, 'density': 0.3936706729278349, 'sum': 111.4088004385773, 'count': 283}, 1: {'label': 1, 'median': 0.9999936976477035, 'mean': 0.9999875989982998, 'density': 0.9999875989982947, 'sum': 566.992968632036, 'count': 567}, 2: {'label': 2, 'median': 0.898618468683139, 'mean': 0.8328071240770314, 'density': 0.8328071240770321, 'sum': 279.82319368988254, 'count': 336}, 3: {'label': 3, 'median': -0.5102421421886164, 'mean': -0.4773476426268784, 'density': -0.4773476426268784, 'sum': -58.71376004310604, 'count': 123}, 4: {'label': 4, 'median': 0.46471017734234776, 'mean': 0.3160514550270214, 'density': 0.3160514550270216, 'sum': 145.69972076745688, 'count': 461}, 5: {'label': 5, 'median': 0.9548236767172034, 'mean': 0.9063207548808322, 'density': 0.9063207548808314, 'sum': 1325.9472643906574, 'count': 1463}}",6,6,-35467.92819103522,full,"GaussianMixture(n_components=6, n_init=100, random_state=5, reg_covar=0.001)",1.6409721840125786
3243.4384018668993,1.5504597580390946,0.9050161006147015,0.7405292238472517,0.0003083147808277806,3.071668301805829,"{0: {'label': 0, 'median': 0.9999937808556898, 'mean': 0.9999877775591327, 'density': 0.9999877775591373, 'sum': 566.9930698760282, 'count': 567}, 1: {'label': 1, 'median': 0.9021221071472646, 'mean': 0.8338884133728265, 'density': 0.8338884133728273, 'sum': 1212.4737530440898, 'count': 1454}, 2: {'label': 2, 'median': 0.9044098673278185, 'mean': 0.7292474960922479, 'density': 0.7292474960922484, 'sum': 298.99147339782166, 'count': 410}, 3: {'label': 3, 'median': 0.6174405418972768, 'mean': 0.3446667364808238, 'density': 0.3446667364808237, 'sum': 164.75070003783378, 'count': 478}, 4: {'label': 4, 'median': 0.973029482027312, 'mean': 0.9456456617730323, 'density': 0.9456456617730324, 'sum': 221.28108485488957, 'count': 234}, 5: {'label': 5, 'median': -0.8750354536961974, 'mean': -0.7817677834722395, 'density': -0.7817677834722393, 'sum': -70.35910051250156, 'count': 90}}",6,6,-32731.13159551411,diag,"GaussianMixture(covariance_type='diag', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",1.5209002289859066
5639.01892393533,0.36489711643958384,0.09757555784316282,0.30755116258566273,0.00017733581204266026,4.5989233198055475,"{0: {'label': 0, 'median': 0.9915906657581717, 'mean': 0.9885855297032341, 'density': 0.988585529703234, 'sum': 14.828782945548511, 'count': 15}, 1: {'label': 1, 'median': 0.999934467539979, 'mean': 0.9998727200545144, 'density': 0.9998727200545181, 'sum': 575.9266867514003, 'count': 576}, 2: {'label': 2, 'median': 0.9683829463479616, 'mean': 0.9242557036834095, 'density': 0.9242557036834094, 'sum': 272.6554325866058, 'count': 295}, 3: {'label': 3, 'median': 0.9582421640658575, 'mean': 0.9009467496452026, 'density': 0.900946749645203, 'sum': 209.92059266733222, 'count': 233}, 4: {'label': 4, 'median': -0.05402255023184346, 'mean': -0.1471793639584715, 'density': -0.1471793639584713, 'sum': -279.49361215713736, 'count': 1899}, 5: {'label': 5, 'median': 0.9711044799925566, 'mean': 0.9324419806776542, 'density': 0.9324419806776537, 'sum': 200.47502584569565, 'count': 215}}",6,6,-20724.903406864854,tied,"GaussianMixture(covariance_type='tied', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",4.233848867553921
3673.504739552576,1.1955416215812424,0.9528723427479271,0.6164077907055425,0.0002722196025046636,4.182488306353769,"{0: {'label': 0, 'median': 0.9492427928396105, 'mean': 0.8941480517926942, 'density': 0.894148051792693, 'sum': 1332.2805971711143, 'count': 1490}, 1: {'label': 1, 'median': 0.9999933934766319, 'mean': 0.9999871412099948, 'density': 0.9999871412099869, 'sum': 566.992709066067, 'count': 567}, 2: {'label': 2, 'median': 0.9957983307314777, 'mean': 0.99254601546206, 'density': 0.9925460154620596, 'sum': 215.38248535526702, 'count': 217}, 3: {'label': 3, 'median': 0.9929149038545722, 'mean': 0.989107893209262, 'density': 0.9891078932092622, 'sum': 156.2790471270634, 'count': 158}, 4: {'label': 4, 'median': 0.9961584705186535, 'mean': 0.9938558556789464, 'density': 0.9938558556789464, 'sum': 161.00464861998933, 'count': 162}, 5: {'label': 5, 'median': -0.7464898851093087, 'mean': -0.6871566509991786, 'density': -0.6871566509991791, 'sum': -439.0930999884751, 'count': 639}}",6,6,-31535.886616877735,spherical,"GaussianMixture(covariance_type='spherical', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",2.9866744651700223
