calinski,davies,silhouette_median,silhouette_mean,calinski_inverse,density,clusters,r_clusters,n_clusters,bic,covariance_type,model,score
21990.24501550794,1.1205781094146834,0.9998998173495438,0.9434752789698466,4.547470932200987e-05,1.4207542333349605,"{0: {'label': 0, 'median': 0.9997102049909995, 'mean': 0.9994169795148431, 'density': 0.9994169795148526, 'sum': 1219.2887150081085, 'count': 1220}, 1: {'label': 1, 'median': 0.9998998173495438, 'mean': 0.9997868930727424, 'density': 0.9997868930727218, 'sum': 1867.6019162598827, 'count': 1868}, 2: {'label': 2, 'median': 0.45127843197780476, 'mean': 0.08370978915338752, 'density': 0.08370978915338748, 'sum': 2.6787132529084006, 'count': 32}, 3: {'label': 3, 'median': 0.1740778211406005, 'mean': 0.049272267080814364, 'density': 0.04927226708081436, 'sum': 2.6607024223639755, 'count': 54}, 4: {'label': 4, 'median': -0.8939499993037447, 'mean': -0.7114316954868161, 'density': -0.7114316954868161, 'sum': -41.97447003372215, 'count': 59}}",5,5,-56870.43600095981,full,"GaussianMixture(n_components=5, n_init=100, random_state=5, reg_covar=0.001)",0.3001306492109552
21990.24501550794,1.1205781094146834,0.9998998173495438,0.9434752789698466,4.547470932200987e-05,1.4207542333349605,"{0: {'label': 0, 'median': 0.9997102049909995, 'mean': 0.9994169795148431, 'density': 0.9994169795148526, 'sum': 1219.2887150081085, 'count': 1220}, 1: {'label': 1, 'median': 0.9998998173495438, 'mean': 0.9997868930727424, 'density': 0.9997868930727218, 'sum': 1867.6019162598827, 'count': 1868}, 2: {'label': 2, 'median': 0.45127843197780476, 'mean': 0.08370978915338752, 'density': 0.08370978915338748, 'sum': 2.6787132529084006, 'count': 32}, 3: {'label': 3, 'median': 0.1740778211406005, 'mean': 0.049272267080814364, 'density': 0.04927226708081436, 'sum': 2.6607024223639755, 'count': 54}, 4: {'label': 4, 'median': -0.8939499993037447, 'mean': -0.7114316954868161, 'density': -0.7114316954868161, 'sum': -41.97447003372215, 'count': 59}}",5,5,-57006.87053797212,diag,"GaussianMixture(covariance_type='diag', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",0.3001306492109552
44167.11225749282,0.46765782895535146,0.9895995919515815,0.9782968024824154,2.264128100949939e-05,4.28192491478114,"{0: {'label': 0, 'median': 0.995618782645531, 'mean': 0.9882025945813854, 'density': 0.9882025945813626, 'sum': 1252.0526873346153, 'count': 1267}, 1: {'label': 1, 'median': 0.9895995919515814, 'mean': 0.9805611573798829, 'density': 0.9805611573798543, 'sum': 1857.1828320774982, 'count': 1894}, 2: {'label': 2, 'median': 0.9090253213515173, 'mean': 0.8732038001648524, 'density': 0.8732038001648523, 'sum': 18.3372798034619, 'count': 21}, 3: {'label': 3, 'median': 0.7901458921192719, 'mean': 0.6505429890633876, 'density': 0.6505429890633876, 'sum': 23.419547606281952, 'count': 36}, 4: {'label': 4, 'median': 0.9032456535151523, 'mean': 0.789414373591683, 'density': 0.7894143735916829, 'sum': 11.841215603875245, 'count': 15}}",5,5,-45793.561082441876,tied,"GaussianMixture(covariance_type='tied', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",3.8142444445447787
23694.75232018238,1.106203116821408,0.9997712262810161,0.9438822231299238,4.22034375581227e-05,2.2196966049181723,"{0: {'label': 0, 'median': 0.9997712262810161, 'mean': 0.9994975683932602, 'density': 0.999497568393287, 'sum': 1869.0604528953966, 'count': 1870}, 1: {'label': 1, 'median': 0.9983324142982761, 'mean': 0.9965542859228587, 'density': 0.9965542859228524, 'sum': 1215.7962288258875, 'count': 1220}, 2: {'label': 2, 'median': -0.22921909092844162, 'mean': -0.33658954737108415, 'density': -0.33658954737108415, 'sum': -24.57103695808914, 'count': 73}, 3: {'label': 3, 'median': 0.9927859151882084, 'mean': 0.988182594317869, 'density': 0.9881825943178689, 'sum': 14.822738914768035, 'count': 15}, 4: {'label': 4, 'median': -0.4104703837273946, 'mean': -0.4279482963447516, 'density': -0.4279482963447516, 'sum': -23.53715629896134, 'count': 55}}",5,5,-56418.00890275455,spherical,"GaussianMixture(covariance_type='spherical', n_components=5, n_init=100,
                random_state=5, reg_covar=0.001)",1.1134512846592062
21104.91503517024,1.0248321328872396,0.9998036934908051,0.9452335452769748,4.738232768687067e-05,2.148553336769544,"{0: {'label': 0, 'median': 0.9995719900573887, 'mean': 0.9991291846051641, 'density': 0.9991291846051829, 'sum': 1218.9376052183002, 'count': 1220}, 1: {'label': 1, 'median': 0.9998036934908051, 'mean': 0.999600617609214, 'density': 0.9996006176092298, 'sum': 1867.253953694012, 'count': 1868}, 2: {'label': 2, 'median': 0.8870373773782593, 'mean': 0.8229471810984457, 'density': 0.8229471810984458, 'sum': 13.16715489757513, 'count': 16}, 3: {'label': 3, 'median': 0.45127843197780476, 'mean': 0.08370978915338752, 'density': 0.08370978915338748, 'sum': 2.6787132529084006, 'count': 32}, 4: {'label': 4, 'median': -0.8965622360507024, 'mean': -0.7262298123334454, 'density': -0.7262298123334454, 'sum': -45.02624836467361, 'count': 62}, 5: {'label': 5, 'median': -0.03246675659144469, 'mean': -0.03060362336325626, 'density': -0.030603623363256255, 'sum': -1.071126817713969, 'count': 35}}",6,6,-56878.32614618611,full,"GaussianMixture(n_components=6, n_init=100, random_state=5, reg_covar=0.001)",1.1236738215546174
19425.893085282078,1.1207344024973913,0.9998534101822772,0.9444126689277683,5.147768473809035e-05,1.7621178387768561,"{0: {'label': 0, 'median': -0.139803413170349, 'mean': -0.11435694458313948, 'density': -0.11435694458313947, 'sum': -3.087637503744766, 'count': 27}, 1: {'label': 1, 'median': 0.9991283764230012, 'mean': 0.9981876015318264, 'density': 0.998187601531846, 'sum': 1217.7888738688282, 'count': 1220}, 2: {'label': 2, 'median': -0.7095632493275963, 'mean': -0.5013398906599322, 'density': -0.501339890659932, 'sum': -40.608531143454506, 'count': 81}, 3: {'label': 3, 'median': 0.9998534101822772, 'mean': 0.9996735340680298, 'density': 0.999673534068001, 'sum': 1867.3901616390797, 'count': 1868}, 4: {'label': 4, 'median': 0.8910017977904828, 'mean': 0.7204380272127402, 'density': 0.7204380272127401, 'sum': 16.570074625893024, 'count': 23}, 5: {'label': 5, 'median': -0.3959502546387089, 'mean': -0.3404844887926594, 'density': -0.34048448879265947, 'sum': -4.766782843097232, 'count': 14}}",6,6,-57018.568041456194,diag,"GaussianMixture(covariance_type='diag', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",0.6413319585947268
42911.970785466256,0.47225417230394884,0.9895995919515814,0.9731496537539225,2.3303520712189882e-05,4.897282141141141,"{0: {'label': 0, 'median': 0.9895995919515814, 'mean': 0.9802536440258277, 'density': 0.9802536440257991, 'sum': 1856.6004017849177, 'count': 1894}, 1: {'label': 1, 'median': 0.9881481285145562, 'mean': 0.9782317441190654, 'density': 0.9782317441190638, 'sum': 1228.6590706135462, 'count': 1256}, 2: {'label': 2, 'median': 0.8104137257707535, 'mean': 0.723035645504275, 'density': 0.723035645504275, 'sum': 20.2449980741197, 'count': 28}, 3: {'label': 3, 'median': 0.9032456535151523, 'mean': 0.7893667780059944, 'density': 0.7893667780059942, 'sum': 11.840501670089916, 'count': 15}, 4: {'label': 4, 'median': 0.9090253213515173, 'mean': 0.8731830917902825, 'density': 0.8731830917902825, 'sum': 18.336844927595934, 'count': 21}, 5: {'label': 5, 'median': 0.7465889985301094, 'mean': 0.553211237695726, 'density': 0.553211237695726, 'sum': 10.511013516218794, 'count': 19}}",6,6,-47223.37743738107,tied,"GaussianMixture(covariance_type='tied', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",4.4250046653164805
32952.832886514254,1.0011884481812732,0.9997619501427221,0.9509262945237266,3.0346404615466122e-05,2.779835468374603,"{0: {'label': 0, 'median': 0.9997619501427221, 'mean': 0.9994628752942332, 'density': 0.999462875294221, 'sum': 1868.995576800216, 'count': 1870}, 1: {'label': 1, 'median': 0.9985035300893962, 'mean': 0.9969064539959288, 'density': 0.9969064539959336, 'sum': 1216.2258738750331, 'count': 1220}, 2: {'label': 2, 'median': 0.8506872988440289, 'mean': 0.8031646041102518, 'density': 0.8031646041102516, 'sum': 23.291773519197303, 'count': 29}, 3: {'label': 3, 'median': 0.9927859151882084, 'mean': 0.988182594317869, 'density': 0.9881825943178689, 'sum': 14.822738914768035, 'count': 15}, 4: {'label': 4, 'median': -0.4410676769575391, 'mean': -0.43479748940084434, 'density': -0.4347974894008444, 'sum': -24.348659406447283, 'count': 56}, 5: {'label': 5, 'median': -0.7635779841742691, 'mean': -0.5730835699428274, 'density': -0.5730835699428275, 'sum': -24.642593507541577, 'count': 43}}",6,6,-56511.84807526539,spherical,"GaussianMixture(covariance_type='spherical', n_components=6, n_init=100,
                random_state=5, reg_covar=0.001)",1.7786166737887144
