COUNTYGEOID,C01,C02,C03,C04,label
02013,-0.8406230677738638,-0.014036196140216348,-0.01286853295681974,-0.011862162597820256,1
02016,-0.8406230677737856,-0.014036196140216695,-0.012868532956820644,-0.011862162597821769,1
02020,0.1710946396644567,-0.2223279522587301,-0.04239849425404504,-0.10374523057959012,2
02050,0.1446537622460046,-0.30740307537928885,-0.28898263155974513,0.7989540768611166,6
02060,-0.8406214722931469,-0.014038106076128614,-0.01286952871454775,-0.011863182295135636,1
02068,0.17638652027520454,-0.2383977352557728,-0.04976526523251042,-0.11447004542150825,2
02070,-0.8406230677738596,-0.014036196140216416,-0.012868532956814085,-0.011862162597829198,1
02090,0.14523417018362056,-0.14250609766914207,-0.0016085237642959385,-0.035582534004739715,2
02100,-0.8406230677738595,-0.014036196140216329,-0.012868532956816644,-0.0118621625978288,1
02105,-0.8406230677738596,-0.01403619614021632,-0.012868532956820484,-0.011862162597813692,1
02110,0.19461296821553686,-0.31322616286221305,-0.2890213933322738,0.7995262860055862,6
02122,0.15072371520430294,-0.14647216353085085,0.009813170967673559,-0.01612194560015571,2
02130,0.2130357749248471,-0.3185440586257989,-0.29058502289328914,0.7963656442628467,6
02150,0.09499029288240304,-0.19150688018220885,-0.0382397984942618,-0.06973455651903722,2
02158,-0.8406230677738595,-0.014036196140216315,-0.012868532956819728,-0.011862162597820223,1
02164,-0.8406230677738595,-0.01403619614021632,-0.01286853295681973,-0.011862162597820232,1
02170,-0.8406230677738596,-0.014036196140216329,-0.012868532956819737,-0.011862162597820221,1
02180,-0.8406230677738594,-0.014036196140216324,-0.012868532956819731,-0.011862162597820228,1
02185,-0.8406230677738594,-0.014036196140216324,-0.012868532956819731,-0.011862162597820226,1
02188,0.1876664729605167,-0.2481011529446421,-0.05948420111582014,-0.10396633201843257,2
02195,-0.8406230677738594,-0.014036196140216334,-0.01286853295681974,-0.011862162597820228,1
02198,-0.8406230677738594,-0.014036196140216329,-0.012868532956819743,-0.011862162597820228,1
02220,-0.8406230677738594,-0.014036196140216329,-0.012868532956819743,-0.011862162597820228,1
02230,-0.8406230677738594,-0.014036196140216306,-0.012868532956819743,-0.011862162597820237,1
02240,-0.8406230677738594,-0.014036196140216306,-0.012868532956819743,-0.011862162597820237,1
02261,0.2060870003199598,-0.3415553384787121,-0.29006838808202323,0.7239648031270759,6
02275,-0.8406230677738594,-0.01403619614021632,-0.012868532956819738,-0.011862162597820226,1
02282,-0.8406230677738594,-0.014036196140216305,-0.012868532956819731,-0.011862162597820221,1
02290,-0.840621472293147,-0.014038106076140843,-0.012869528714531757,-0.011863182295126028,1
01001,0.1554222774564656,-0.16166196575884514,0.004597857927247751,-0.0520678478333911,2
01003,0.8872545702531882,-0.3253495861147098,-0.13374189196947034,-0.39827105662940426,0
01005,1.1047058296849854,-0.23176190833594176,0.0014284098961811116,-0.040215656500364134,0
01007,-0.8406230677738593,-0.01403619614021632,-0.012868532956819738,-0.011862162597820226,1
01009,-0.8406230677738594,-0.014036196140216334,-0.01286853295681974,-0.01186216259782023,1
01011,-0.8406230677738594,-0.014036196140216329,-0.012868532956819754,-0.011862162597820226,1
01013,0.21143489396602666,-0.31111195694498345,-0.20296667872971472,-0.5561915031939489,5
01015,0.2911177723322357,0.8073539487051392,-0.20705694542078146,-0.007612634259355868,3
01017,0.24346678049350395,-0.2480763730259532,-0.06287942681358487,-0.09568599294427606,2
01019,0.16249204262776634,-0.2204809511410896,-0.04200950068627885,-0.1033634154724656,2
01021,0.7563448147060688,-0.26767800584093104,-0.036929628142292725,-0.0800731655446818,0
01023,0.15130630260309458,-0.14892386235405528,-0.0002922835015334658,-0.04759063864199042,2
01025,0.15486322682148018,-0.16018609054763966,0.005164249486102465,-0.05091490255561311,2
01027,0.9685798319727116,-0.26449419986116673,-0.028286434266655912,-0.061190895365122074,0
01029,-0.8406230677738595,-0.014036196140216329,-0.012868532956819728,-0.011862162597820226,1
01031,0.639998352151786,-0.255506077217805,-0.045945142981940114,-0.07854483129070297,0
01033,0.22914866097816364,-0.2835095541783791,-0.06977264876741722,-0.13946719171587665,2
01035,1.0562947112625776,-0.20919905019563545,0.011040474719109735,-0.02965020818584312,0
01037,0.4661588595179786,-0.3553286874633388,-0.2788388118786113,0.7082153594340359,6
01039,0.22429924653416985,-0.3069413418161147,-0.20048865917103745,-0.5539014151614843,5
01041,-0.8406230677738595,-0.014036196140216322,-0.012868532956819749,-0.01186216259782024,1
01043,0.2911851227910635,0.8073364866409959,-0.2070752430986693,-0.007653238869219111,3
01045,0.2150496234982142,-0.3016289358866925,-0.15868495152846585,-0.40905297665014906,5
01047,0.1549458628175658,-0.16032915605843298,0.005103898876574317,-0.05101429768600347,2
01049,0.6421366024603163,-0.3510214255838701,-0.15534489101063104,-0.3900074756785528,5
01051,0.23210175358387197,-0.31067866028319285,-0.202103433226182,-0.5557799477568346,5
01053,0.1540605259257761,-0.15807396415136787,0.005950497746921453,-0.04924279877540762,2
01055,0.2913741727930467,0.8067063830985565,-0.20681537538857594,-0.007859260922017547,3
01057,0.8311370857341916,-0.2709989346123524,-0.027133844002752545,-0.09277384673947923,0
01059,0.2911165395952225,0.8073602577907116,-0.20705866453049104,-0.007606573749476742,3
01061,0.928123160856568,-0.2635726741316111,-0.029783712901951486,-0.06734686736156538,0
01063,0.18902571331599732,-0.2785708661489283,-0.07144275205610941,-0.13584193015123014,2
01065,0.09576428279949813,-0.1915983457216489,-0.03823639326148752,-0.06974874717469473,2
01067,-0.8406230677738595,-0.014036196140216338,-0.012868532956819752,-0.011862162597820237,1
01069,0.29134135841849684,0.8073338451320392,-0.2070575480239964,-0.007612044751141931,3
01071,0.2923297552708989,0.80227797184453,-0.20676400372269102,-0.01005809876964037,3
01073,0.15570035664253645,-0.0866753005231591,0.0215100800561126,-0.029869658474359937,2
01075,0.2914738632146999,0.8062669251405876,-0.20752695476367536,-0.008312040910520227,3
01077,0.2911157834987985,0.8073546070566271,-0.20706107888058115,-0.007611009097635014,3
01079,0.15735564443615124,-0.1615868113114307,0.007821002368223487,-0.0525791015115643,2
01081,0.30026304676772986,0.8101284586529445,-0.06472019566280958,0.012960574540004792,3
01083,0.2799657462392158,-0.0552561442384173,0.8948845934685578,0.09694463724337572,4
01085,0.1486463529389759,-0.14150167824738805,0.016873999356141534,-0.03463130301538112,2
01087,-0.8406230677738596,-0.014036196140216334,-0.012868532956819759,-0.01186216259782024,1
01089,0.303449461919529,0.8030058579705678,0.00730331825485853,0.022755509179139103,3
01091,0.16070115125946335,-0.14543283226013462,0.012090954893380391,-0.05229738123762417,2
01093,0.2986487941225652,0.7989634603276842,-0.21478469857895596,-0.02222651708447912,3
01095,0.21205318997678274,-0.3176582883516388,-0.29064095025859515,0.7951957640528177,6
01097,0.14344945242331114,-0.13646612644055686,0.0062042457712657715,-0.03201121954709143,2
01099,0.15491800191943375,-0.16032220069321787,0.0051115805762734405,-0.05102050299733505,2
01101,0.2911070116950205,0.8073621927106511,-0.2070583382529916,-0.007604692025360927,3
01103,0.29399440134099314,0.7873419749892971,-0.21949014819019586,0.03119536941702272,3
01105,-0.139863759953088,-0.1616377861297628,-0.038340712225803215,-0.06414119630601638,2
01107,-0.03859596818758207,-0.17504423341687864,-0.038529490907796185,-0.0668737877690372,2
01109,0.21070415549525406,-0.3058914240820161,-0.20087746350160585,-0.5540602536176162,5
01111,0.3623812629350233,-0.3348606424040607,-0.20271651175261196,-0.5450236765890603,5
01113,0.1470097070739208,-0.14202490872384482,0.010365773659423106,-0.035107147917408627,2
01115,0.20565734301608207,-0.03531868971805241,0.90564937013622,0.10788919299370676,4
01117,0.15677723166659088,-0.14942192506893676,0.01913785286173376,-0.04921603308135269,2
01119,0.15916128614405592,-0.16986512075219584,-0.008525876339742949,-0.059560935685535527,2
01121,0.16631306752291128,-0.1882754268170469,-0.007482017665830813,-0.07390213417756003,2
01123,0.20573989518048388,-0.03541038086676603,0.9055941668222898,0.10777896609661212,4
01125,0.2336090279667717,0.13375446509231595,0.8533431253166714,0.10934639180615068,4
01127,0.17390136581681748,-0.2149847373056868,-0.03284042174125409,-0.09675681836096504,2
01129,0.17849284215354216,-0.20767169055411705,-0.07998042356566758,0.10269208975562552,2
01131,0.15371211003437651,-0.15716925933948722,0.0062792436522980674,-0.0485211204100714,2
01133,0.990331378219114,-0.2639162793158877,-0.02552332307287357,-0.06464705858089984,0
05001,0.19910575938677053,-0.3137585259052585,-0.2890079202342229,0.7994387053443726,6
05003,0.1543154050140471,-0.15873612633828574,0.005704253626681086,-0.04976552085911557,2
05005,0.1463137829048917,-0.12135370615351534,0.011996857408030002,-0.03228565391530715,2
05007,0.20779813515847992,-0.2831162346013389,-0.0764816062541286,-0.1165213947260608,2
05009,0.3052082763986146,0.7934748869008671,0.06479699134843107,0.03037388743282429,3
05011,0.17184369456424828,-0.2238596220804216,-0.042989045302551085,-0.10490557370740866,2
05013,0.19983447734802984,-0.31428544855990304,-0.2892697772424985,0.7990213164518363,6
05015,-0.8406230677738595,-0.014036196140216313,-0.01286853295681975,-0.011862162597820265,1
05017,-0.8406230677738595,-0.014036196140216324,-0.012868532956819749,-0.011862162597820266,1
05019,0.20590364088279695,-0.042574906773570176,0.8750913244825579,0.10133355185726693,4
