calinski,davies,silhouette_median,silhouette_mean,calinski_inverse,density,clusters,r_clusters,n_clusters,likelihood_lower,covariance_type,model,score,key,keydesc,method,group,url,identifiers
74877.57344577592,0.5562130683433973,0.999112726536925,0.9594325108755375,1.3355133639903138e-05,3.375958230060591,"{0: {'label': 0, 'median': 0.9991127265369251, 'mean': 0.9977154109901658, 'density': 0.9977154109901721, 'sum': 2343.6335004158996, 'count': 2349}, 1: {'label': 1, 'median': 0.9590768354646153, 'mean': 0.9409557709503291, 'density': 0.9409557709503226, 'sum': 766.8789533245182, 'count': 815}, 2: {'label': 2, 'median': -0.8935671032263534, 'mean': -0.7061490509270119, 'density': -0.7061490509270117, 'sum': -27.53981298615346, 'count': 39}, 3: {'label': 3, 'median': 0.8841553480505516, 'mean': 0.6625523769494964, 'density': 0.6625523769494964, 'sum': 8.613180900343453, 'count': 13}, 4: {'label': 4, 'median': 0.7297141272650174, 'mean': 0.48177234640059446, 'density': 0.4817723464005945, 'sum': 6.263040503207728, 'count': 13}, 5: {'label': 5, 'median': 0.9991972539528451, 'mean': 0.9991113756970169, 'density': 0.9991113756970169, 'sum': 3.9964455027880676, 'count': 4}}",6,6,40578.01095824626,tied,"BayesianGaussianMixture(covariance_type='tied', n_components=6, n_init=18,
                        random_state=5)",2.8197318065835537,rbf,Radial Basis Function Kernel PCA,bgmm,baseline,https://raw.githubusercontent.com/vetiveria/segments/master/warehouse/baseline/principals/kernel/rbf/projections.csv,{'COUNTYGEOID': 'str'}
8209.620050692833,0.38788685551139346,0.7933627611731102,0.7043840914074946,0.00012180831680701316,5.042881211776544,"{0: {'label': 0, 'median': 0.7626783818874961, 'mean': 0.5069457616088272, 'density': 0.5069457616088271, 'sum': 882.0856251993594, 'count': 1740}, 1: {'label': 1, 'median': 0.9999344075294265, 'mean': 0.9998728312513, 'density': 0.9998728312512941, 'sum': 575.9267508007488, 'count': 576}, 2: {'label': 2, 'median': 0.9791222885084321, 'mean': 0.9448384590716301, 'density': 0.9448384590716303, 'sum': 273.0583146717011, 'count': 289}, 3: {'label': 3, 'median': 0.9561231090581302, 'mean': 0.8881001830305773, 'density': 0.8881001830305775, 'sum': 203.3749419140022, 'count': 229}, 4: {'label': 4, 'median': 0.9666332168789546, 'mean': 0.9194486897445592, 'density': 0.91944868974456, 'sum': 204.11760912329214, 'count': 222}, 5: {'label': 5, 'median': 0.8946285875899667, 'mean': 0.7836752870696554, 'density': 0.7836752870696562, 'sum': 138.710525811329, 'count': 177}}",6,6,22044.365798036502,tied,"BayesianGaussianMixture(covariance_type='tied', n_components=6, n_init=18,
                        random_state=5)",4.654872547948344,cosine,Cosine Kernel PCA,bgmm,baseline,https://raw.githubusercontent.com/vetiveria/segments/master/warehouse/baseline/principals/kernel/cosine/projections.csv,{'COUNTYGEOID': 'str'}
